dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
chameleon,polynormer,none,,0.0,,42,0,46.6899,40.7216,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,1,41.0596,44.0994,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,2,45.5172,33.1461,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,0,46.6899,44.8454,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,1,39.7351,44.7205,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,2,45.1724,37.6404,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,0,43.9024,39.1753,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,1,40.3974,41.6149,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,2,47.2414,34.8315,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,0,46.3415,42.7835,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,1,41.3907,46.5839,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,2,46.2069,32.5843,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,0,44.5993,44.3299,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
