dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
citeseer,polynormer,none,,0.0,,123,0,67.2000,69.2000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,1,65.8000,69.6000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,2,65.0000,67.7000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,0,67.6000,67.2000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,1,66.2000,67.8000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,2,66.4000,69.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,0,66.2000,70.5000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,1,66.0000,68.4000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,2,66.2000,67.6000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,0,66.2000,69.4000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,1,66.2000,68.7000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,2,64.6000,68.5000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,0,66.8000,69.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=1000,beta=-1.0"
