dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
coauthor-cs,sgformer,none,,0.0,,42,0,89.4163,89.7492,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,89.9618,90.7306,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,2,89.1980,89.7219,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,0,90.2073,91.1123,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,91.4075,92.2028,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,2,90.0436,90.6761,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,0,89.6890,90.1309,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,90.7801,91.2486,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,2,88.8434,89.2312,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,0,90.6710,91.4940,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,91.3257,92.0393,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,2,90.0436,90.7034,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,0,89.2253,89.4766,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,90.2891,90.7579,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,2,88.1888,88.7405,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,0,90.5892,91.2759,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,91.4348,92.2574,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,2,90.0164,90.4853,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,0,91.6530,92.3391,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,90.7256,91.7121,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,2,91.3802,92.1210,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,0,92.0895,93.2661,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,92.0076,92.8299,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,2,91.9258,92.8571,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,0,91.7076,92.5300,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,91.5166,92.4482,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
