dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
cora,polynormer,none,,0.0,,123,0,80.2000,79.2000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,1,78.4000,79.8000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,2,82.6000,82.1000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,0,80.2000,81.1000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,1,80.4000,80.4000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,2,82.0000,83.6000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,0,80.2000,80.9000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,1,80.0000,80.4000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,2,82.2000,81.1000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,0,81.2000,81.3000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,1,80.2000,82.0000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,2,80.4000,81.9000,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=1000,beta=-1.0"
cora,polynormer,none,,0.0,,123,0,80.0000,80.6000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=1000,beta=-1.0"
