dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
minesweeper,sgformer,none,,0.0,,42,0,77.3589,76.1211,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,1,76.8644,78.3406,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,2,75.8374,76.5504,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,0,77.2910,75.8892,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,1,76.8301,78.3466,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,2,76.0599,76.6417,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,0,77.1778,75.9346,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,1,76.5332,77.8037,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,2,75.4596,75.9814,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,0,77.1536,75.6024,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,1,76.5288,77.9349,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,2,75.7039,76.2553,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,0,77.1217,75.8227,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,1,76.6087,77.8957,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,2,75.5319,76.2448,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,0,77.0701,75.3403,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,1,76.2357,77.7869,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,2,75.5453,76.2416,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,0,77.0241,75.8738,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,1,76.7083,78.2538,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
minesweeper,sgformer,none,,0.0,,42,2,75.5874,76.2063,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
