dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
questions,sgformer,none,,0.0,,42,0,75.7210,74.4083,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,1,76.6650,76.7760,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,2,77.6171,77.3890,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,0,74.5697,72.4264,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,1,76.3421,75.1563,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,2,75.1505,75.1551,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,0,75.4654,73.0042,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,1,76.3966,75.7132,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,2,76.2415,76.2051,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,0,74.4838,72.1570,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,1,75.8408,74.5362,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,2,74.8225,74.7773,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,0,74.9836,72.5058,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
questions,sgformer,none,,0.0,,42,1,75.3217,74.1841,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
