dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
roman-empire,sgformer,none,,0.0,,42,0,75.0397,73.5087,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
roman-empire,sgformer,none,,0.0,,42,1,75.3398,74.8323,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
roman-empire,sgformer,none,,0.0,,42,2,74.4395,73.9675,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
roman-empire,sgformer,none,,0.0,,42,0,73.2921,72.3968,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
roman-empire,sgformer,none,,0.0,,42,1,74.2101,73.1204,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
roman-empire,sgformer,none,,0.0,,42,2,73.1862,72.1320,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
roman-empire,sgformer,none,,0.0,,42,0,74.8279,74.3558,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
roman-empire,sgformer,none,,0.0,,42,1,75.7635,74.8676,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
roman-empire,sgformer,none,,0.0,,42,2,74.7396,73.7204,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
roman-empire,sgformer,none,,0.0,,42,0,73.9100,72.7144,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
