dataset,model,best_config,val,test,n_runs
chameleon,polynormer,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0",45.69 ± 4.22,43.81 ± 4.62,3
citeseer,polynormer,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0",67.80 ± 1.74,69.83 ± 0.64,3
cora,polynormer,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0",82.47 ± 0.46,82.53 ± 1.01,3
pubmed,polynormer,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0",79.47 ± 0.23,77.97 ± 0.99,3
squirrel,polynormer,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0",41.40 ± 1.74,39.47 ± 0.98,3
amazon-computer,sgformer,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False",81.55 ± 0.47,83.62 ± 0.58,3
amazon-photo,sgformer,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False",92.37 ± 0.40,92.85 ± 0.48,3
amazon-ratings,sgformer,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True",54.78 ± 0.10,54.77 ± 0.64,3
coauthor-cs,sgformer,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False",92.06 ± 0.05,92.98 ± 0.22,3
coauthor-physics,sgformer,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False",96.08 ± 0.01,96.22 ± 0.05,3
minesweeper,sgformer,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True",80.27 ± 0.76,80.27 ± 1.38,3
questions,sgformer,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True",77.32 ± 0.70,76.43 ± 1.00,3
roman-empire,sgformer,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=True",75.33 ± 0.26,74.86 ± 0.76,3
squirrel,sgformer,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False",41.90 ± 1.55,40.74 ± 2.57,3
wikics,sgformer,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.5,alpha=0.5,tr_do=None,tr_wd=None,bn=False",81.10 ± 0.54,79.55 ± 0.90,3
