dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
squirrel,polynormer,none,,0.0,,42,0,39.6936,39.8230,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,1,41.1429,36.5688,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,2,40.7714,39.5556,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,0,39.8329,38.2743,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,1,40.0000,38.6005,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,2,42.8375,40.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,0,40.1114,40.2655,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,1,40.7143,38.3747,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,2,43.3884,39.7778,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,0,39.2758,40.2655,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,1,41.2857,43.1151,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,2,41.5978,40.4444,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,0,40.5292,39.1593,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,1,39.7143,43.5666,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,2,41.0468,41.3333,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,0,39.5543,43.5841,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,1,40.1429,37.6975,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=2,le=100,ge=500,beta=-1.0"
