dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
amazon-computer,polynormer,none,,0.0,,42,0,92.5455,93.7114,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,none,,0.0,,42,1,92.2909,93.6750,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,none,,0.0,,42,2,92.4000,93.5296,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,none,,0.0,,42,3,92.6909,93.8568,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,none,,0.0,,42,4,92.5091,93.5660,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,none,,0.0,,42,5,92.2545,93.4933,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,none,,0.0,,42,6,92.2545,93.9295,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,none,,0.0,,42,7,92.5455,93.7114,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,none,,0.0,,42,8,92.4000,93.7114,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,none,,0.0,,42,9,92.5455,93.5660,,,,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,0,92.4727,93.2388,0.5059799551963806,0.30055272579193115,0.8254545331001282,0.37626081705093384,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,1,92.3636,93.6750,0.47720372676849365,0.30091068148612976,0.8159999847412109,0.36938607692718506,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,2,92.2909,93.8204,0.5334333777427673,0.29667928814888,0.8236363530158997,0.3896503150463104,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,3,92.4727,93.6387,0.5020096302032471,0.30385351181030273,0.8236363530158997,0.39068931341171265,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,4,92.7273,93.6387,0.4780922532081604,0.30007463693618774,0.8247272372245789,0.3940754234790802,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,5,92.3273,93.0934,0.5052528977394104,0.3071242868900299,0.8152726888656616,0.39890608191490173,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,6,92.2545,93.8204,0.4811078608036041,0.30033567547798157,0.8279999494552612,0.37533554434776306,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,7,92.4364,93.6387,0.4996553361415863,0.30300280451774597,0.8199999928474426,0.3811069428920746,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,8,92.4364,93.7477,0.5768687725067139,0.3032200038433075,0.8243635892868042,0.39112305641174316,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.01,500,42,9,92.6182,93.3842,0.48296618461608887,0.3044717013835907,0.8218181729316711,0.3953934907913208,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,0,92.6182,93.4933,0.0,0.30055272579193115,0.8254545331001282,0.37626081705093384,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,1,92.5818,93.4933,0.0,0.30091068148612976,0.8159999847412109,0.36938607692718506,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,2,92.4364,93.2752,0.0,0.29667928814888,0.8236363530158997,0.3896503150463104,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,3,92.2909,93.4933,0.0,0.30385351181030273,0.8236363530158997,0.39068931341171265,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,4,92.4000,93.5660,0.0,0.30007463693618774,0.8247272372245789,0.3940754234790802,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,5,92.2545,93.1661,0.0,0.3071242868900299,0.8152726888656616,0.39890608191490173,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,6,92.3273,93.6387,0.0,0.30033567547798157,0.8279999494552612,0.37533554434776306,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,7,92.6545,93.9295,0.0,0.30300280451774597,0.8199999928474426,0.3811069428920746,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,8,92.3273,93.7841,0.0,0.3032200038433075,0.8243635892868042,0.39112305641174316,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.01,500,42,9,92.4000,93.6750,0.0,0.3044717013835907,0.8218181729316711,0.3953934907913208,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,0,92.4727,93.2752,0.0,0.30055272579193115,0.8254545331001282,0.37626081705093384,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,1,92.5091,93.5660,0.0,0.30091068148612976,0.8159999847412109,0.36938607692718506,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,2,92.4364,93.9658,0.0,0.29667928814888,0.8236363530158997,0.3896503150463104,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,3,92.2909,93.6387,0.0,0.30385351181030273,0.8236363530158997,0.39068931341171265,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,4,92.2909,93.5660,0.0,0.30007463693618774,0.8247272372245789,0.3940754234790802,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,5,92.2182,93.6023,0.0,0.3071242868900299,0.8152726888656616,0.39890608191490173,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,6,92.4364,93.6023,0.0,0.30033567547798157,0.8279999494552612,0.37533554434776306,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,7,92.3636,93.4206,0.0,0.30300280451774597,0.8199999928474426,0.3811069428920746,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,8,92.3636,93.5660,0.0,0.3032200038433075,0.8243635892868042,0.39112305641174316,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,none,0.05,500,42,9,92.0727,93.6750,0.0,0.3044717013835907,0.8218181729316711,0.3953934907913208,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.05,500,42,0,92.5818,94.0749,0.5059799551963806,0.30055272579193115,0.8254545331001282,0.37626081705093384,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.05,500,42,1,92.2909,93.4569,0.47720372676849365,0.30091068148612976,0.8159999847412109,0.36938607692718506,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.05,500,42,2,92.2545,93.1298,0.5334333777427673,0.29667928814888,0.8236363530158997,0.3896503150463104,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.05,500,42,3,92.3636,93.7114,0.5020096302032471,0.30385351181030273,0.8236363530158997,0.39068931341171265,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.05,500,42,4,92.5455,94.0022,0.4780922532081604,0.30007463693618774,0.8247272372245789,0.3940754234790802,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
amazon-computer,polynormer,mlp,shuffle,0.05,500,42,5,92.3636,93.3115,0.5052528977394104,0.3071242868900299,0.8152726888656616,0.39890608191490173,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0"
