dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
amazon-computer,sgformer,none,,0.0,,42,0,80.2545,82.5154,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,none,,0.0,,42,1,80.7636,82.4791,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,none,,0.0,,42,2,80.6182,82.9880,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,none,,0.0,,42,3,81.1636,83.4242,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,none,,0.0,,42,4,81.9273,83.9695,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,none,,0.0,,42,5,82.1818,84.2603,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,none,,0.0,,42,6,81.0545,83.1334,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,none,,0.0,,42,7,79.6000,82.3337,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,none,,0.0,,42,8,80.2909,82.4427,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,none,,0.0,,42,9,81.0545,82.9153,,,,,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,0,80.2545,82.5882,0.0,0.29874861240386963,0.8458181619644165,0.23217102885246277,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,1,80.3273,82.2610,0.0,0.30072763562202454,0.8472726941108704,0.23128117620944977,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,2,79.7091,82.2973,0.0,0.30013319849967957,0.8454545140266418,0.23123696446418762,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,3,81.6727,83.8241,0.0,0.299291729927063,0.8487272262573242,0.23140722513198853,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,4,81.7455,83.6787,0.0,0.2971383035182953,0.8450908660888672,0.22979259490966797,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,5,82.0727,84.0785,0.0,0.3004678189754486,0.8461818099021912,0.2270771712064743,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,6,81.0182,82.8790,0.0,0.29847365617752075,0.8461818099021912,0.23097851872444153,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,7,80.2909,82.6972,0.0,0.3001004457473755,0.8447272777557373,0.23394562304019928,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,8,80.1091,82.5154,0.0,0.3003491759300232,0.8450908660888672,0.22711962461471558,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,none,0.01,500,42,9,80.6182,83.0244,0.0,0.301026314496994,0.8472726941108704,0.2279752790927887,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,0,81.6727,83.7150,0.5260216593742371,0.29874861240386963,0.8458181619644165,0.23217102885246277,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,1,79.7455,82.0792,0.4853793978691101,0.30072763562202454,0.8472726941108704,0.23128117620944977,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,2,80.9818,82.6609,0.5568808317184448,0.30013319849967957,0.8454545140266418,0.23123696446418762,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,3,81.5273,83.3879,0.5235170125961304,0.299291729927063,0.8487272262573242,0.23140722513198853,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,4,82.0727,84.0785,0.4964378774166107,0.2971383035182953,0.8450908660888672,0.22979259490966797,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,5,81.8182,84.1512,0.5365309715270996,0.3004678189754486,0.8461818099021912,0.2270771712064743,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,6,80.6545,83.0971,0.4840666651725769,0.29847365617752075,0.8461818099021912,0.23097851872444153,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,7,81.7091,84.1512,0.5050764083862305,0.3001004457473755,0.8447272777557373,0.23394562304019928,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,8,80.2545,82.0792,0.5985980033874512,0.3003491759300232,0.8450908660888672,0.22711962461471558,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,shuffle,0.01,500,42,9,81.0182,82.8063,0.5022570490837097,0.301026314496994,0.8472726941108704,0.2279752790927887,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,homophily,0.01,500,42,0,79.9636,82.5154,0.3187825679779053,0.29874861240386963,0.8458181619644165,0.23217102885246277,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,homophily,0.01,500,42,1,79.9636,82.6245,0.3201177716255188,0.30072763562202454,0.8472726941108704,0.23128117620944977,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,homophily,0.01,500,42,2,79.6364,82.3337,0.32024845480918884,0.30013319849967957,0.8454545140266418,0.23123696446418762,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,homophily,0.01,500,42,3,81.7818,83.8968,0.3192606568336487,0.299291729927063,0.8487272262573242,0.23140722513198853,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
amazon-computer,sgformer,mlp,homophily,0.01,500,42,4,82.0000,84.1876,0.3173082172870636,0.2971383035182953,0.8450908660888672,0.22979259490966797,"lr=0.001,hid=256,do=0.5,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
