sgformer 0.001 REG: False 83.05 $\pm$ 0.66 
sgformer 0.001 MLP_REG: 0.01 82.98 $\pm$ 0.65 
sgformer 0.001 MLP_REG: 0.01 83.22 $\pm$ 0.81 
sgformer 0.001 MLP_REG: 0.01 83.06 $\pm$ 0.65 
sgformer 0.001 ORACLE_REG: 0.01 83.28 $\pm$ 0.67 
sgformer 0.001 MLP_REG: 0.05 83.87 $\pm$ 0.33 
sgformer 0.001 MLP_REG: 0.05 82.94 $\pm$ 0.62 
sgformer 0.001 MLP_REG: 0.05 83.87 $\pm$ 0.49 
sgformer 0.001 ORACLE_REG: 0.05 83.56 $\pm$ 0.17 
sgformer 0.001 MLP_REG: 0.1 83.89 $\pm$ 0.42 
sgformer 0.001 MLP_REG: 0.1 82.95 $\pm$ 0.59 
sgformer 0.001 MLP_REG: 0.1 83.99 $\pm$ 0.24 
sgformer 0.001 ORACLE_REG: 0.1 83.45 $\pm$ 0.32 
sgformer 0.001 MLP_REG: 0.2 83.76 $\pm$ 0.48 
sgformer 0.001 MLP_REG: 0.2 83.02 $\pm$ 0.92 
sgformer 0.001 MLP_REG: 0.2 84.01 $\pm$ 0.29 
sgformer 0.001 ORACLE_REG: 0.2 83.90 $\pm$ 0.48 
sgformer 0.001 MLP_REG: 0.4 83.43 $\pm$ 0.39 
sgformer 0.001 MLP_REG: 0.4 83.28 $\pm$ 1.69 
sgformer 0.001 MLP_REG: 0.4 84.06 $\pm$ 1.37 
sgformer 0.001 ORACLE_REG: 0.4 82.54 $\pm$ 0.54 
