polynormer 0.001 REG: False 96.52 $\pm$ 0.29 
polynormer 0.001 MLP_REG: 0.01 96.42 $\pm$ 0.24 
polynormer 0.001 MLP_REG: 0.01 96.57 $\pm$ 0.23 
polynormer 0.001 MLP_REG: 0.05 96.32 $\pm$ 0.41 
polynormer 0.001 MLP_REG: 0.05 96.34 $\pm$ 0.32 
polynormer 0.001 MLP_REG: 0.1 96.21 $\pm$ 0.57 
polynormer 0.001 MLP_REG: 0.1 96.37 $\pm$ 0.34 
polynormer 0.001 MLP_REG: 0.2 96.50 $\pm$ 0.24 
polynormer 0.001 MLP_REG: 0.2 96.47 $\pm$ 0.35 
polynormer 0.001 MLP_REG: 0.4 96.40 $\pm$ 0.22 
polynormer 0.001 MLP_REG: 0.4 96.31 $\pm$ 0.27 
polynormer 0.001 MLP_REG: 0.01 96.52 $\pm$ 0.37 
polynormer 0.001 ORACLE_REG: 0.01 96.45 $\pm$ 0.38 
polynormer 0.001 MLP_REG: 0.05 96.44 $\pm$ 0.35 
polynormer 0.001 ORACLE_REG: 0.05 96.23 $\pm$ 0.59 
polynormer 0.001 ORACLE_REG: 0.1 96.52 $\pm$ 0.18 
polynormer 0.001 ORACLE_REG: 0.2 96.41 $\pm$ 0.36 
polynormer 0.001 ORACLE_REG: 0.4 96.58 $\pm$ 0.21 
polynormer 0.001 MLP_REG: 0.1 96.46 $\pm$ 0.14 
polynormer 0.001 MLP_REG: 0.2 96.28 $\pm$ 0.70 
polynormer 0.001 MLP_REG: 0.4 96.25 $\pm$ 0.34 
