sgformer 0.001 REG: False 93.03 $\pm$ 0.34 
sgformer 0.001 MLP_REG: 0.01 92.98 $\pm$ 0.41 
sgformer 0.001 MLP_REG: 0.05 92.47 $\pm$ 0.69 
sgformer 0.001 MLP_REG: 0.1 92.27 $\pm$ 0.34 
sgformer 0.001 MLP_REG: 0.2 92.05 $\pm$ 0.73 
sgformer 0.001 MLP_REG: 0.4 92.44 $\pm$ 0.54 
sgformer 0.001 MLP_REG: 0.01 93.03 $\pm$ 0.33 
sgformer 0.001 MLP_REG: 0.05 93.01 $\pm$ 0.58 
sgformer 0.001 MLP_REG: 0.1 92.80 $\pm$ 0.47 
sgformer 0.001 MLP_REG: 0.2 92.67 $\pm$ 0.68 
sgformer 0.001 MLP_REG: 0.4 92.82 $\pm$ 0.67 
sgformer 0.001 MLP_REG: 0.01 93.00 $\pm$ 0.35 
sgformer 0.001 ORACLE_REG: 0.01 92.92 $\pm$ 0.61 
sgformer 0.001 MLP_REG: 0.05 92.82 $\pm$ 0.56 
sgformer 0.001 ORACLE_REG: 0.05 92.28 $\pm$ 0.40 
sgformer 0.001 MLP_REG: 0.1 92.45 $\pm$ 0.60 
sgformer 0.001 ORACLE_REG: 0.1 92.03 $\pm$ 0.39 
sgformer 0.001 MLP_REG: 0.2 92.35 $\pm$ 0.56 
sgformer 0.001 ORACLE_REG: 0.2 92.72 $\pm$ 0.15 
sgformer 0.001 MLP_REG: 0.4 91.78 $\pm$ 0.71 
sgformer 0.001 ORACLE_REG: 0.4 92.48 $\pm$ 0.26 
