polynormer 0.001 REG: False 54.44 $\pm$ 0.48 
polynormer 0.001 MLP_REG: 0.01 54.30 $\pm$ 0.63 
polynormer 0.001 MLP_REG: 0.01 54.32 $\pm$ 0.49 
polynormer 0.001 MLP_REG: 0.01 54.40 $\pm$ 0.30 
polynormer 0.001 ORACLE_REG: 0.01 54.38 $\pm$ 0.52 
polynormer 0.001 MLP_REG: 0.05 54.48 $\pm$ 0.52 
polynormer 0.001 MLP_REG: 0.05 54.35 $\pm$ 0.28 
polynormer 0.001 MLP_REG: 0.05 54.33 $\pm$ 0.50 
polynormer 0.001 ORACLE_REG: 0.05 54.35 $\pm$ 0.40 
polynormer 0.001 MLP_REG: 0.1 54.59 $\pm$ 0.39 
polynormer 0.001 MLP_REG: 0.1 54.63 $\pm$ 0.45 
polynormer 0.001 MLP_REG: 0.2 54.89 $\pm$ 0.51 
polynormer 0.001 MLP_REG: 0.2 54.31 $\pm$ 0.49 
polynormer 0.001 MLP_REG: 0.4 55.05 $\pm$ 0.31 
polynormer 0.001 MLP_REG: 0.4 54.18 $\pm$ 0.58 
polynormer 0.001 MLP_REG: 0.1 54.67 $\pm$ 0.50 
polynormer 0.001 MLP_REG: 0.2 54.76 $\pm$ 0.49 
polynormer 0.001 ORACLE_REG: 0.1 54.56 $\pm$ 0.40 
polynormer 0.001 MLP_REG: 0.4 55.07 $\pm$ 0.59 
polynormer 0.001 ORACLE_REG: 0.2 54.69 $\pm$ 0.34 
polynormer 0.001 ORACLE_REG: 0.4 55.11 $\pm$ 0.57 
