dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
amazon-ratings,polynormer,none,,0.0,,42,0,54.7444,54.9731,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,1,55.2670,53.7645,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,2,54.4504,54.6138,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,3,55.3650,54.6627,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,4,54.8261,54.7607,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,5,55.0547,54.0585,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,6,55.7407,54.9894,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,7,54.9241,54.2218,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,8,54.7607,53.6502,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,9,55.2670,54.6954,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,mlp,none,0.01,500,42,0,54.3361,54.3198,0.0,0.4641672372817993,0.4559856355190277,0.2984767258167267,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,mlp,none,0.01,500,42,1,55.2997,55.1854,0.0,0.3789074122905731,0.4652947783470154,0.2961168885231018,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,mlp,none,0.01,500,42,2,54.7934,53.4215,0.0,0.4408971071243286,0.47460395097732544,0.24298258125782013,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,mlp,none,0.01,500,42,3,55.6263,54.3524,0.0,0.5411660075187683,0.4698677062988281,0.4696130156517029,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,mlp,none,0.01,500,42,4,54.6627,54.4994,0.0,0.4725434482097626,0.4721541702747345,0.26327353715896606,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,mlp,none,0.01,500,42,5,54.7117,53.5685,0.0,0.4854532480239868,0.4749305844306946,0.3496737480163574,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,mlp,none,0.01,500,42,6,55.6917,55.1854,0.0,0.48970675468444824,0.47084760665893555,0.26609334349632263,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,mlp,none,0.01,500,42,7,54.6138,53.5685,0.0,0.37983438372612,0.4615384638309479,0.30613183975219727,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
