dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
amazon-ratings,sgformer,none,,0.0,,42,0,54.6301,55.0220,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,none,,0.0,,42,1,54.2708,54.3524,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,none,,0.0,,42,2,55.0384,54.0748,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,none,,0.0,,42,3,54.8424,53.3725,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,none,,0.0,,42,4,55.2017,53.6338,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,none,,0.0,,42,5,54.4994,53.5032,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,none,,0.0,,42,6,55.1854,54.6464,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,none,,0.0,,42,7,53.5359,53.8788,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,none,,0.0,,42,8,54.4504,53.4215,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,none,,0.0,,42,9,54.2218,53.9278,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,mlp,none,0.01,500,42,0,54.3688,55.5773,0.0,0.41171613335609436,0.4796668291091919,0.2683590352535248,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,mlp,none,0.01,500,42,1,54.4014,54.7281,0.0,0.40987125039100647,0.49534541368484497,0.2666192650794983,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,mlp,none,0.01,500,42,2,55.0057,54.2218,0.0,0.4124641716480255,0.4839131236076355,0.23787496984004974,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,mlp,none,0.01,500,42,3,54.7771,53.8135,0.0,0.4272751808166504,0.49697861075401306,0.252292275428772,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,mlp,none,0.01,500,42,4,55.3977,54.2544,0.0,0.4151301980018616,0.4937122166156769,0.24391759932041168,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
amazon-ratings,sgformer,mlp,none,0.01,500,42,5,54.5158,53.7155,0.0,0.4184916317462921,0.49109911918640137,0.25276198983192444,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=True"
