sgformer 0.001 REG: False 53.98 $\pm$ 0.55 
sgformer 0.001 MLP_REG: 0.01 54.30 $\pm$ 0.70 
sgformer 0.001 MLP_REG: 0.01 54.15 $\pm$ 0.50 
sgformer 0.001 MLP_REG: 0.05 54.04 $\pm$ 0.80 
sgformer 0.001 MLP_REG: 0.01 53.98 $\pm$ 0.46 
sgformer 0.001 MLP_REG: 0.05 54.15 $\pm$ 0.75 
sgformer 0.001 MLP_REG: 0.1 54.35 $\pm$ 0.65 
sgformer 0.001 ORACLE_REG: 0.01 54.02 $\pm$ 0.85 
sgformer 0.001 MLP_REG: 0.05 54.22 $\pm$ 0.68 
sgformer 0.001 MLP_REG: 0.1 54.09 $\pm$ 0.72 
sgformer 0.001 MLP_REG: 0.2 53.98 $\pm$ 0.54 
sgformer 0.001 ORACLE_REG: 0.05 54.18 $\pm$ 0.44 
sgformer 0.001 MLP_REG: 0.1 54.30 $\pm$ 0.52 
sgformer 0.001 MLP_REG: 0.2 54.17 $\pm$ 0.75 
sgformer 0.001 MLP_REG: 0.4 54.27 $\pm$ 0.54 
sgformer 0.001 ORACLE_REG: 0.1 54.23 $\pm$ 0.50 
sgformer 0.001 MLP_REG: 0.4 54.11 $\pm$ 0.67 
sgformer 0.001 ORACLE_REG: 0.2 54.23 $\pm$ 0.50 
sgformer 0.001 MLP_REG: 0.2 54.19 $\pm$ 0.59 
sgformer 0.001 ORACLE_REG: 0.4 54.34 $\pm$ 0.49 
sgformer 0.001 MLP_REG: 0.4 54.35 $\pm$ 0.53 
