polynormer 0.001 REG: False 41.79 $\pm$ 4.47 
polynormer 0.001 MLP_REG: 0.01 39.88 $\pm$ 3.25 
polynormer 0.001 MLP_REG: 0.05 40.69 $\pm$ 4.16 
polynormer 0.001 MLP_REG: 0.1 40.21 $\pm$ 3.86 
polynormer 0.001 MLP_REG: 0.2 39.89 $\pm$ 4.54 
polynormer 0.001 MLP_REG: 0.4 40.31 $\pm$ 3.96 
polynormer 0.001 MLP_REG: 0.01 40.93 $\pm$ 3.45 
polynormer 0.001 MLP_REG: 0.05 42.37 $\pm$ 3.73 
polynormer 0.001 MLP_REG: 0.01 40.52 $\pm$ 3.76 
polynormer 0.001 MLP_REG: 0.1 39.22 $\pm$ 3.82 
polynormer 0.001 MLP_REG: 0.05 40.61 $\pm$ 3.32 
polynormer 0.001 MLP_REG: 0.1 39.80 $\pm$ 3.69 
polynormer 0.001 MLP_REG: 0.2 40.73 $\pm$ 3.73 
polynormer 0.001 MLP_REG: 0.4 40.08 $\pm$ 3.90 
polynormer 0.001 MLP_REG: 0.2 40.12 $\pm$ 3.37 
polynormer 0.001 MLP_REG: 0.4 41.80 $\pm$ 3.24 
polynormer 0.001 ORACLE_REG: 0.01 40.20 $\pm$ 3.29 
polynormer 0.001 ORACLE_REG: 0.05 41.34 $\pm$ 3.58 
polynormer 0.001 ORACLE_REG: 0.1 40.52 $\pm$ 3.96 
polynormer 0.001 ORACLE_REG: 0.2 42.15 $\pm$ 4.14 
polynormer 0.001 ORACLE_REG: 0.4 41.67 $\pm$ 4.59 
