dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
chameleon,polynormer,none,,0.0,,42,0,45.6446,42.7835,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,1,41.7219,48.4472,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,2,46.8966,35.3933,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,3,44.2177,42.9348,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,4,45.8955,47.8022,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,5,44.8630,36.5854,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,6,45.7746,38.2979,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,7,42.9032,38.9937,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,8,50.1742,44.7674,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,none,,0.0,,42,9,45.3237,41.9355,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,mlp,none,0.01,500,42,0,44.9477,40.2062,0.0,0.07665775716304779,0.31707316637039185,0.28122225403785706,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,mlp,none,0.01,500,42,1,41.0596,42.2360,0.0,0.1016973927617073,0.24172185361385345,0.25859999656677246,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,mlp,none,0.01,500,42,2,47.2414,33.7079,0.0,0.09206737577915192,0.27241379022598267,0.2522539794445038,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,mlp,none,0.01,500,42,3,42.8571,44.0217,0.0,0.14281699061393738,0.2687074840068817,0.28329458832740784,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,mlp,none,0.01,500,42,4,47.3881,41.2088,0.0,0.07133807986974716,0.28731343150138855,0.26979121565818787,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,mlp,none,0.01,500,42,5,45.2055,35.3659,0.0,0.11608637869358063,0.2568493187427521,0.24293777346611023,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,mlp,none,0.01,500,42,6,46.4789,38.2979,0.0,0.11283280700445175,0.3380281627178192,0.21206992864608765,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
chameleon,polynormer,mlp,none,0.01,500,42,7,44.1935,41.5094,0.0,0.1275002509355545,0.24193547666072845,0.2949930727481842,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=500,beta=-1.0"
