dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
chameleon,sgformer,none,,0.0,,42,0,45.6446,46.9072,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,none,,0.0,,42,1,37.4172,39.1304,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,none,,0.0,,42,2,45.5172,34.2697,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,none,,0.0,,42,3,43.5374,43.4783,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,none,,0.0,,42,4,45.5224,42.8571,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,none,,0.0,,42,5,45.5479,37.1951,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,none,,0.0,,42,6,41.5493,44.6809,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,none,,0.0,,42,7,40.3226,42.7673,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,none,,0.0,,42,8,43.5540,37.7907,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,none,,0.0,,42,9,44.6043,46.7742,,,,,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,0,45.6446,47.4227,0.0,0.10311807692050934,0.3449477255344391,0.28045594692230225,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,1,37.4172,38.5093,0.0,0.09815648943185806,0.2781457006931305,0.26473468542099,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,2,45.8621,37.6404,0.0,0.10555005073547363,0.3103448152542114,0.21125994622707367,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,3,43.5374,43.4783,0.0,0.13684602081775665,0.2619047462940216,0.2812439501285553,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,4,45.8955,41.7582,0.0,0.04832495376467705,0.3507462739944458,0.24966028332710266,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,5,45.5479,37.1951,0.0,0.12354236096143723,0.29109588265419006,0.2071254849433899,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,6,41.5493,44.6809,0.0,0.12403742969036102,0.3732394278049469,0.18789279460906982,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,7,40.3226,42.7673,0.0,0.12055265158414841,0.30645161867141724,0.2382625788450241,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,8,43.2056,38.3721,0.0,0.12717527151107788,0.3449477255344391,0.23514612019062042,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.01,500,42,9,44.6043,46.7742,0.0,0.07308744639158249,0.3273381292819977,0.26965150237083435,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,0,45.6446,45.3608,0.0,0.10311807692050934,0.3449477255344391,0.28045594692230225,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,1,37.4172,45.3416,0.0,0.09815648943185806,0.2781457006931305,0.26473468542099,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,2,45.8621,37.0787,0.0,0.10555005073547363,0.3103448152542114,0.21125994622707367,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,3,43.8776,43.4783,0.0,0.13684602081775665,0.2619047462940216,0.2812439501285553,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,4,45.8955,41.7582,0.0,0.04832495376467705,0.3507462739944458,0.24966028332710266,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,5,45.5479,35.3659,0.0,0.12354236096143723,0.29109588265419006,0.2071254849433899,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,6,41.5493,42.5532,0.0,0.12403742969036102,0.3732394278049469,0.18789279460906982,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,7,40.6452,42.7673,0.0,0.12055265158414841,0.30645161867141724,0.2382625788450241,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,8,43.5540,37.7907,0.0,0.12717527151107788,0.3449477255344391,0.23514612019062042,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.05,500,42,9,44.6043,46.7742,0.0,0.07308744639158249,0.3273381292819977,0.26965150237083435,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,0,45.6446,45.8763,0.0,0.10311807692050934,0.3449477255344391,0.28045594692230225,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,1,37.4172,45.9627,0.0,0.09815648943185806,0.2781457006931305,0.26473468542099,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,2,45.8621,38.2022,0.0,0.10555005073547363,0.3103448152542114,0.21125994622707367,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,3,43.5374,41.3043,0.0,0.13684602081775665,0.2619047462940216,0.2812439501285553,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,4,45.8955,41.7582,0.0,0.04832495376467705,0.3507462739944458,0.24966028332710266,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,5,45.5479,35.9756,0.0,0.12354236096143723,0.29109588265419006,0.2071254849433899,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,6,41.9014,45.2128,0.0,0.12403742969036102,0.3732394278049469,0.18789279460906982,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,7,40.3226,42.1384,0.0,0.12055265158414841,0.30645161867141724,0.2382625788450241,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,8,43.2056,42.4419,0.0,0.12717527151107788,0.3449477255344391,0.23514612019062042,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
chameleon,sgformer,mlp,none,0.1,500,42,9,44.6043,46.7742,0.0,0.07308744639158249,0.3273381292819977,0.26965150237083435,"lr=0.001,hid=64,do=0.6,wd=0.001,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
