sgformer 0.001 REG: False 41.59 $\pm$ 4.28 
sgformer 0.001 MLP_REG: 0.01 41.86 $\pm$ 3.79 
sgformer 0.001 MLP_REG: 0.05 41.83 $\pm$ 3.86 
sgformer 0.001 MLP_REG: 0.1 42.56 $\pm$ 3.53 
sgformer 0.001 MLP_REG: 0.2 42.20 $\pm$ 3.54 
sgformer 0.001 MLP_REG: 0.4 40.20 $\pm$ 3.00 
sgformer 0.001 ORACLE_REG: 0.01 41.75 $\pm$ 3.87 
sgformer 0.001 MLP_REG: 0.01 42.30 $\pm$ 3.70 
sgformer 0.001 MLP_REG: 0.01 42.38 $\pm$ 3.81 
sgformer 0.001 ORACLE_REG: 0.05 41.54 $\pm$ 3.65 
sgformer 0.001 MLP_REG: 0.05 42.11 $\pm$ 3.59 
sgformer 0.001 MLP_REG: 0.05 41.34 $\pm$ 2.97 
sgformer 0.001 ORACLE_REG: 0.1 41.17 $\pm$ 4.09 
sgformer 0.001 MLP_REG: 0.1 41.43 $\pm$ 4.10 
sgformer 0.001 MLP_REG: 0.1 41.55 $\pm$ 3.99 
sgformer 0.001 ORACLE_REG: 0.2 41.49 $\pm$ 3.96 
sgformer 0.001 MLP_REG: 0.2 41.51 $\pm$ 3.71 
sgformer 0.001 ORACLE_REG: 0.4 41.34 $\pm$ 3.18 
sgformer 0.001 MLP_REG: 0.2 41.78 $\pm$ 3.63 
sgformer 0.001 MLP_REG: 0.4 40.51 $\pm$ 3.06 
sgformer 0.001 MLP_REG: 0.4 41.30 $\pm$ 3.76 
