dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
citeseer,polynormer,none,,0.0,,123,0,64.6000,65.5000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,1,65.0000,68.6000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,2,66.4000,70.2000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,3,65.2000,67.4000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,4,66.2000,68.4000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,5,64.2000,67.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,6,68.4000,68.5000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,7,68.2000,68.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,8,67.8000,69.3000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,none,,0.0,,123,9,64.4000,66.5000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,0,64.4000,67.9000,0.0,0.05034463107585907,0.3500000238418579,0.7769202589988708,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,1,67.0000,68.2000,0.0,0.035463377833366394,0.3240000009536743,0.7784854173660278,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,2,67.2000,70.4000,0.0,0.02937726490199566,0.3100000023841858,0.7790679931640625,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,3,66.8000,68.9000,0.0,0.051930636167526245,0.3140000104904175,0.7809906601905823,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,4,68.4000,68.9000,0.0,0.06356976926326752,0.3140000104904175,0.7783620953559875,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,5,65.8000,67.6000,0.0,0.05186118558049202,0.3140000104904175,0.778640627861023,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,6,68.4000,68.5000,0.0,0.03845493122935295,0.30800002813339233,0.7818499207496643,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,7,67.8000,72.3000,0.0,0.055198848247528076,0.33400002121925354,0.7813606262207031,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,8,65.6000,69.5000,0.0,0.08171571046113968,0.2939999997615814,0.7802779674530029,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.01,500,123,9,63.0000,66.9000,0.0,0.030880095437169075,0.29200002551078796,0.7798030972480774,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,0,65.8000,68.3000,0.13136596977710724,0.05034463107585907,0.3500000238418579,0.7769202589988708,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,1,66.8000,69.9000,0.10855533927679062,0.035463377833366394,0.3240000009536743,0.7784854173660278,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,2,67.6000,69.7000,0.12772639095783234,0.02937726490199566,0.3100000023841858,0.7790679931640625,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,3,62.8000,68.3000,0.14138518273830414,0.051930636167526245,0.3140000104904175,0.7809906601905823,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,4,67.8000,68.8000,0.1451519876718521,0.06356976926326752,0.3140000104904175,0.7783620953559875,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,5,66.0000,69.5000,0.1188833937048912,0.05186118558049202,0.3140000104904175,0.778640627861023,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,6,68.0000,69.2000,0.11263074725866318,0.03845493122935295,0.30800002813339233,0.7818499207496643,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,7,66.6000,69.5000,0.13815917074680328,0.055198848247528076,0.33400002121925354,0.7813606262207031,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,8,63.8000,64.6000,0.1430131196975708,0.08171571046113968,0.2939999997615814,0.7802779674530029,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.01,500,123,9,64.6000,68.6000,0.07931071519851685,0.030880095437169075,0.29200002551078796,0.7798030972480774,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,0,64.2000,64.5000,0.0,0.05034463107585907,0.3500000238418579,0.7769202589988708,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,1,65.8000,69.6000,0.0,0.035463377833366394,0.3240000009536743,0.7784854173660278,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,2,67.6000,70.1000,0.0,0.02937726490199566,0.3100000023841858,0.7790679931640625,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,3,66.2000,67.7000,0.0,0.051930636167526245,0.3140000104904175,0.7809906601905823,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,4,67.0000,67.5000,0.0,0.06356976926326752,0.3140000104904175,0.7783620953559875,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,5,66.4000,69.0000,0.0,0.05186118558049202,0.3140000104904175,0.778640627861023,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,6,67.2000,69.7000,0.0,0.03845493122935295,0.30800002813339233,0.7818499207496643,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,7,67.0000,70.1000,0.0,0.055198848247528076,0.33400002121925354,0.7813606262207031,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,8,66.8000,68.5000,0.0,0.08171571046113968,0.2939999997615814,0.7802779674530029,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.05,500,123,9,66.0000,65.3000,0.0,0.030880095437169075,0.29200002551078796,0.7798030972480774,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,0,64.8000,66.9000,0.13136596977710724,0.05034463107585907,0.3500000238418579,0.7769202589988708,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,1,67.0000,69.9000,0.10855533927679062,0.035463377833366394,0.3240000009536743,0.7784854173660278,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,2,68.0000,70.3000,0.12772639095783234,0.02937726490199566,0.3100000023841858,0.7790679931640625,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,3,67.0000,68.3000,0.14138518273830414,0.051930636167526245,0.3140000104904175,0.7809906601905823,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,4,68.6000,68.8000,0.1451519876718521,0.06356976926326752,0.3140000104904175,0.7783620953559875,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,5,67.4000,67.7000,0.1188833937048912,0.05186118558049202,0.3140000104904175,0.778640627861023,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,6,67.4000,67.2000,0.11263074725866318,0.03845493122935295,0.30800002813339233,0.7818499207496643,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,7,68.2000,70.6000,0.13815917074680328,0.055198848247528076,0.33400002121925354,0.7813606262207031,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,8,66.0000,69.8000,0.1430131196975708,0.08171571046113968,0.2939999997615814,0.7802779674530029,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.05,500,123,9,66.6000,69.6000,0.07931071519851685,0.030880095437169075,0.29200002551078796,0.7798030972480774,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,0,66.0000,68.8000,0.0,0.05034463107585907,0.3500000238418579,0.7769202589988708,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,1,67.6000,69.0000,0.0,0.035463377833366394,0.3240000009536743,0.7784854173660278,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,2,67.4000,72.1000,0.0,0.02937726490199566,0.3100000023841858,0.7790679931640625,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,3,65.2000,67.4000,0.0,0.051930636167526245,0.3140000104904175,0.7809906601905823,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,4,66.0000,68.4000,0.0,0.06356976926326752,0.3140000104904175,0.7783620953559875,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,5,66.8000,68.3000,0.0,0.05186118558049202,0.3140000104904175,0.778640627861023,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,6,67.8000,69.5000,0.0,0.03845493122935295,0.30800002813339233,0.7818499207496643,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,7,67.4000,69.9000,0.0,0.055198848247528076,0.33400002121925354,0.7813606262207031,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,8,66.6000,69.5000,0.0,0.08171571046113968,0.2939999997615814,0.7802779674530029,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,none,0.1,500,123,9,67.2000,69.3000,0.0,0.030880095437169075,0.29200002551078796,0.7798030972480774,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
citeseer,polynormer,mlp,shuffle,0.1,500,123,0,65.2000,66.6000,0.13136596977710724,0.05034463107585907,0.3500000238418579,0.7769202589988708,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
