dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
citeseer,sgformer,none,,0.0,,123,0,68.0000,67.7000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,none,,0.0,,123,1,67.4000,69.2000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,none,,0.0,,123,2,69.6000,72.0000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,none,,0.0,,123,3,68.8000,69.9000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,none,,0.0,,123,4,66.2000,70.9000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,none,,0.0,,123,5,68.6000,67.7000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,none,,0.0,,123,6,65.4000,68.5000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,none,,0.0,,123,7,66.4000,67.6000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,none,,0.0,,123,8,66.0000,66.8000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,none,,0.0,,123,9,65.6000,66.6000,,,,,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,mlp,none,0.01,500,123,0,68.0000,68.7000,0.0,0.05943702533841133,0.3620000183582306,0.7976306676864624,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,mlp,none,0.01,500,123,1,67.4000,69.7000,0.0,0.05289432778954506,0.3160000145435333,0.8069654703140259,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,mlp,none,0.01,500,123,2,70.2000,71.3000,0.0,0.042194001376628876,0.33000001311302185,0.8030128479003906,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
citeseer,sgformer,mlp,none,0.01,500,123,3,68.6000,69.8000,0.0,0.05877433344721794,0.32200002670288086,0.8000917434692383,"lr=0.005,hid=64,do=0.5,wd=0.01,heads=1,gcn_l=4,tr_l=1,gw=0.7,alpha=0.5,tr_do=0.3,tr_wd=0.01,bn=False"
