sgformer 0.005 REG: False 68.69 $\pm$ 1.79 
sgformer 0.005 MLP_REG: 0.01 68.88 $\pm$ 1.50 
sgformer 0.005 MLP_REG: 0.05 68.96 $\pm$ 1.35 
sgformer 0.005 MLP_REG: 0.01 68.87 $\pm$ 1.56 
sgformer 0.005 MLP_REG: 0.01 68.64 $\pm$ 1.52 
sgformer 0.005 MLP_REG: 0.1 68.48 $\pm$ 1.73 
sgformer 0.005 MLP_REG: 0.05 68.77 $\pm$ 1.77 
sgformer 0.005 MLP_REG: 0.05 68.81 $\pm$ 1.18 
sgformer 0.005 MLP_REG: 0.2 68.91 $\pm$ 1.84 
sgformer 0.005 MLP_REG: 0.1 68.99 $\pm$ 1.66 
sgformer 0.005 MLP_REG: 0.1 68.79 $\pm$ 1.33 
sgformer 0.005 MLP_REG: 0.4 68.77 $\pm$ 1.45 
sgformer 0.005 MLP_REG: 0.2 68.84 $\pm$ 1.22 
sgformer 0.005 MLP_REG: 0.2 69.02 $\pm$ 1.36 
sgformer 0.005 ORACLE_REG: 0.01 68.61 $\pm$ 1.87 
sgformer 0.005 MLP_REG: 0.4 68.40 $\pm$ 1.89 
sgformer 0.005 MLP_REG: 0.4 68.78 $\pm$ 1.48 
sgformer 0.005 ORACLE_REG: 0.05 69.11 $\pm$ 1.36 
sgformer 0.005 ORACLE_REG: 0.1 69.29 $\pm$ 1.63 
sgformer 0.005 ORACLE_REG: 0.2 70.10 $\pm$ 1.04 
sgformer 0.005 ORACLE_REG: 0.4 70.94 $\pm$ 1.24 
