polynormer 0.001 REG: False 95.37 $\pm$ 0.22 
polynormer 0.001 MLP_REG: 0.01 95.43 $\pm$ 0.21 
polynormer 0.001 MLP_REG: 0.01 95.49 $\pm$ 0.22 
polynormer 0.001 ORACLE_REG: 0.01 95.31 $\pm$ 0.24 
polynormer 0.001 ORACLE_REG: 0.05 95.36 $\pm$ 0.35 
polynormer 0.001 ORACLE_REG: 0.1 95.43 $\pm$ 0.20 
polynormer 0.001 ORACLE_REG: 0.2 95.41 $\pm$ 0.21 
polynormer 0.001 ORACLE_REG: 0.4 95.39 $\pm$ 0.28 
polynormer 0.001 MLP_REG: 0.05 95.42 $\pm$ 0.19 
polynormer 0.001 MLP_REG: 0.1 95.44 $\pm$ 0.23 
polynormer 0.001 MLP_REG: 0.05 95.47 $\pm$ 0.20 
polynormer 0.001 MLP_REG: 0.2 95.34 $\pm$ 0.27 
polynormer 0.001 MLP_REG: 0.1 95.27 $\pm$ 0.31 
polynormer 0.001 MLP_REG: 0.4 95.46 $\pm$ 0.21 
polynormer 0.001 MLP_REG: 0.2 95.45 $\pm$ 0.16 
polynormer 0.001 MLP_REG: 0.4 95.38 $\pm$ 0.27 
polynormer 0.001 MLP_REG: 0.01 95.41 $\pm$ 0.24 
polynormer 0.001 MLP_REG: 0.05 95.42 $\pm$ 0.23 
polynormer 0.001 MLP_REG: 0.1 95.52 $\pm$ 0.15 
polynormer 0.001 MLP_REG: 0.2 95.43 $\pm$ 0.28 
polynormer 0.001 MLP_REG: 0.4 95.31 $\pm$ 0.30 
