dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
coauthor-cs,sgformer,none,,0.0,,42,0,92.0349,93.1025,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,1,92.1168,93.0752,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,2,92.0349,92.5300,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,3,92.1713,93.0207,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,4,91.8712,92.3664,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,5,91.8167,92.5573,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,6,92.3350,93.0752,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,7,92.1986,93.0752,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,8,92.3350,93.2116,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,none,,0.0,,42,9,92.5532,93.3206,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,0,92.0349,92.7208,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,1,92.0622,92.8844,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,2,91.9531,92.5845,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,3,92.2259,93.1025,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,4,91.8440,92.3391,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,5,91.8440,92.5573,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,6,92.3350,93.0207,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,7,92.3895,93.1025,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,8,92.3350,93.2116,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.01,,42,9,92.4714,93.2661,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,0,92.0622,92.9117,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,1,92.1713,92.7481,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,2,92.1440,92.8026,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,3,92.2531,93.1298,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,4,92.0076,92.5845,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,5,91.6803,92.5573,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,6,92.2259,92.8844,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,7,92.4168,93.1570,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,8,92.3623,93.3206,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.05,,42,9,92.4441,93.4024,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.1,,42,0,92.1713,93.1570,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.1,,42,1,92.2804,93.1025,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.1,,42,2,92.1986,92.9117,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.1,,42,3,92.3350,93.1025,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.1,,42,4,92.3350,92.8571,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-cs,sgformer,oracle,none,0.1,,42,5,91.7076,92.4209,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
