sgformer 0.001 REG: False 92.93 $\pm$ 0.32 
sgformer 0.001 ORACLE_REG: 0.01 92.88 $\pm$ 0.31 
sgformer 0.001 ORACLE_REG: 0.05 92.95 $\pm$ 0.29 
sgformer 0.001 ORACLE_REG: 0.1 92.99 $\pm$ 0.29 
sgformer 0.001 ORACLE_REG: 0.2 93.11 $\pm$ 0.18 
sgformer 0.001 ORACLE_REG: 0.4 28.82 $\pm$ 4.20 
sgformer 0.001 MLP_REG: 0.01 92.89 $\pm$ 0.31 
sgformer 0.001 MLP_REG: 0.01 92.97 $\pm$ 0.31 
sgformer 0.001 MLP_REG: 0.01 92.93 $\pm$ 0.33 
sgformer 0.001 MLP_REG: 0.05 92.95 $\pm$ 0.29 
sgformer 0.001 MLP_REG: 0.1 92.97 $\pm$ 0.25 
sgformer 0.001 MLP_REG: 0.2 93.05 $\pm$ 0.22 
sgformer 0.001 MLP_REG: 0.4 65.80 $\pm$ 35.06 
sgformer 0.001 MLP_REG: 0.05 92.98 $\pm$ 0.34 
sgformer 0.001 MLP_REG: 0.1 93.00 $\pm$ 0.33 
sgformer 0.001 MLP_REG: 0.2 93.09 $\pm$ 0.29 
sgformer 0.001 MLP_REG: 0.05 92.90 $\pm$ 0.34 
sgformer 0.001 MLP_REG: 0.4 93.14 $\pm$ 0.23 
sgformer 0.001 MLP_REG: 0.1 92.92 $\pm$ 0.38 
sgformer 0.001 MLP_REG: 0.2 92.90 $\pm$ 0.36 
sgformer 0.001 MLP_REG: 0.4 92.75 $\pm$ 0.38 
