dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
coauthor-physics,sgformer,none,,0.0,,42,0,96.0568,96.2174,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-physics,sgformer,none,,0.0,,42,1,96.0858,96.1884,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-physics,sgformer,none,,0.0,,42,2,96.0858,96.2174,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-physics,sgformer,none,,0.0,,42,3,96.0713,96.1884,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-physics,sgformer,none,,0.0,,42,4,96.0713,96.0870,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-physics,sgformer,none,,0.0,,42,5,96.0713,96.0290,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-physics,sgformer,none,,0.0,,42,6,96.0713,96.2174,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-physics,sgformer,none,,0.0,,42,7,96.1293,96.2464,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-physics,sgformer,none,,0.0,,42,8,96.0133,96.2174,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
coauthor-physics,sgformer,none,,0.0,,42,9,96.1003,96.2174,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,gcn_l=2,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
