sgformer 0.001 REG: False 96.18 $\pm$ 0.07 
sgformer 0.001 MLP_REG: 0.01 96.18 $\pm$ 0.09 
sgformer 0.001 ORACLE_REG: 0.01 96.20 $\pm$ 0.05 
sgformer 0.001 MLP_REG: 0.01 96.18 $\pm$ 0.10 
sgformer 0.001 MLP_REG: 0.01 96.16 $\pm$ 0.07 
sgformer 0.001 MLP_REG: 0.05 96.17 $\pm$ 0.04 
sgformer 0.001 ORACLE_REG: 0.05 96.14 $\pm$ 0.05 
sgformer 0.001 MLP_REG: 0.05 96.18 $\pm$ 0.07 
sgformer 0.001 MLP_REG: 0.05 96.17 $\pm$ 0.04 
sgformer 0.001 MLP_REG: 0.1 96.13 $\pm$ 0.05 
sgformer 0.001 ORACLE_REG: 0.1 96.16 $\pm$ 0.03 
sgformer 0.001 MLP_REG: 0.1 96.19 $\pm$ 0.06 
sgformer 0.001 MLP_REG: 0.1 96.16 $\pm$ 0.03 
sgformer 0.001 MLP_REG: 0.2 96.09 $\pm$ 0.05 
sgformer 0.001 ORACLE_REG: 0.2 96.08 $\pm$ 0.04 
sgformer 0.001 MLP_REG: 0.2 96.17 $\pm$ 0.06 
sgformer 0.001 MLP_REG: 0.2 96.12 $\pm$ 0.05 
sgformer 0.001 ORACLE_REG: 0.4 95.93 $\pm$ 0.05 
sgformer 0.001 MLP_REG: 0.4 95.96 $\pm$ 0.05 
sgformer 0.001 MLP_REG: 0.4 96.16 $\pm$ 0.07 
sgformer 0.001 MLP_REG: 0.4 96.00 $\pm$ 0.03 
