polynormer 0.001 REG: False 83.08 $\pm$ 0.38 
polynormer 0.001 ORACLE_REG: 0.01 82.63 $\pm$ 0.71 
polynormer 0.001 MLP_REG: 0.01 82.63 $\pm$ 0.82 
polynormer 0.001 MLP_REG: 0.01 82.81 $\pm$ 0.74 
polynormer 0.001 MLP_REG: 0.01 82.95 $\pm$ 0.72 
polynormer 0.001 ORACLE_REG: 0.05 83.12 $\pm$ 0.68 
polynormer 0.001 MLP_REG: 0.05 82.40 $\pm$ 1.13 
polynormer 0.001 MLP_REG: 0.05 82.90 $\pm$ 0.54 
polynormer 0.001 MLP_REG: 0.05 82.82 $\pm$ 0.52 
polynormer 0.001 ORACLE_REG: 0.1 83.10 $\pm$ 0.85 
polynormer 0.001 MLP_REG: 0.1 82.83 $\pm$ 0.59 
polynormer 0.001 MLP_REG: 0.1 83.12 $\pm$ 0.69 
polynormer 0.001 MLP_REG: 0.1 82.64 $\pm$ 1.08 
polynormer 0.001 ORACLE_REG: 0.2 83.45 $\pm$ 1.05 
polynormer 0.001 MLP_REG: 0.2 83.15 $\pm$ 0.67 
polynormer 0.001 MLP_REG: 0.2 83.25 $\pm$ 0.68 
polynormer 0.001 MLP_REG: 0.2 83.08 $\pm$ 0.68 
polynormer 0.001 ORACLE_REG: 0.4 83.93 $\pm$ 0.85 
polynormer 0.001 MLP_REG: 0.4 82.54 $\pm$ 1.14 
polynormer 0.001 MLP_REG: 0.4 83.19 $\pm$ 0.82 
polynormer 0.001 MLP_REG: 0.4 83.08 $\pm$ 0.80 
