sgformer 0.01 REG: False 82.59 $\pm$ 1.18 
sgformer 0.01 MLP_REG: 0.01 82.37 $\pm$ 1.55 
sgformer 0.01 MLP_REG: 0.01 82.59 $\pm$ 0.94 
sgformer 0.01 MLP_REG: 0.05 81.81 $\pm$ 1.46 
sgformer 0.01 MLP_REG: 0.05 82.28 $\pm$ 0.97 
sgformer 0.01 MLP_REG: 0.1 82.17 $\pm$ 1.49 
sgformer 0.01 MLP_REG: 0.1 81.97 $\pm$ 1.22 
sgformer 0.01 MLP_REG: 0.2 81.59 $\pm$ 1.70 
sgformer 0.01 MLP_REG: 0.2 82.17 $\pm$ 1.23 
sgformer 0.01 ORACLE_REG: 0.01 82.63 $\pm$ 0.95 
sgformer 0.01 MLP_REG: 0.01 82.41 $\pm$ 1.10 
sgformer 0.01 MLP_REG: 0.4 82.29 $\pm$ 1.12 
sgformer 0.01 MLP_REG: 0.4 82.02 $\pm$ 1.24 
sgformer 0.01 ORACLE_REG: 0.05 82.61 $\pm$ 0.90 
sgformer 0.01 MLP_REG: 0.05 81.93 $\pm$ 1.09 
sgformer 0.01 ORACLE_REG: 0.1 81.72 $\pm$ 1.32 
sgformer 0.01 MLP_REG: 0.1 82.10 $\pm$ 1.07 
sgformer 0.01 ORACLE_REG: 0.2 82.56 $\pm$ 1.47 
sgformer 0.01 MLP_REG: 0.2 82.23 $\pm$ 1.45 
sgformer 0.01 ORACLE_REG: 0.4 82.93 $\pm$ 0.98 
sgformer 0.01 MLP_REG: 0.4 82.56 $\pm$ 1.16 
