polynormer 0.001 REG: False 97.24 $\pm$ 0.45 
polynormer 0.001 MLP_REG: 0.01 97.29 $\pm$ 0.34 
polynormer 0.001 MLP_REG: 0.05 97.24 $\pm$ 0.46 
polynormer 0.001 ORACLE_REG: 0.01 97.11 $\pm$ 0.41 
polynormer 0.001 MLP_REG: 0.1 97.24 $\pm$ 0.39 
polynormer 0.001 ORACLE_REG: 0.05 97.27 $\pm$ 0.29 
polynormer 0.001 MLP_REG: 0.2 97.15 $\pm$ 0.48 
polynormer 0.001 ORACLE_REG: 0.1 97.10 $\pm$ 0.34 
polynormer 0.001 MLP_REG: 0.4 97.10 $\pm$ 0.42 
polynormer 0.001 MLP_REG: 0.01 97.19 $\pm$ 0.46 
polynormer 0.001 MLP_REG: 0.05 97.13 $\pm$ 0.46 
polynormer 0.001 MLP_REG: 0.1 97.26 $\pm$ 0.21 
polynormer 0.001 MLP_REG: 0.2 97.06 $\pm$ 0.47 
polynormer 0.001 MLP_REG: 0.4 96.89 $\pm$ 0.53 
polynormer 0.001 ORACLE_REG: 0.2 97.12 $\pm$ 0.34 
polynormer 0.001 ORACLE_REG: 0.4 96.87 $\pm$ 0.55 
