dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
minesweeper,polynormer,none,,0.0,,42,0,96.4742,97.1293,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,none,,0.0,,42,1,96.8556,97.0245,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,none,,0.0,,42,2,97.5053,97.5021,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,none,,0.0,,42,3,97.3531,97.2519,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,none,,0.0,,42,4,97.0743,96.5726,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,none,,0.0,,42,5,96.7088,96.7886,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,none,,0.0,,42,6,97.9509,97.0653,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,none,,0.0,,42,7,97.5942,97.5485,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,none,,0.0,,42,8,98.1658,98.1920,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,none,,0.0,,42,9,96.6476,97.2923,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,0,96.8340,97.3149,0.0004137385403737426,1.0647133588790894,0.7999999523162842,0.12226931005716324,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,1,97.1303,97.2708,0.6325389742851257,1.066420316696167,0.7999999523162842,0.12272259593009949,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,2,97.0771,97.3950,0.6326555013656616,1.06571626663208,0.7999999523162842,0.1223723441362381,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,3,97.3348,97.4275,1.2042293548583984,1.0663542747497559,0.7999999523162842,0.12264121323823929,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,4,97.5709,97.3684,0.8507367968559265,1.0651003122329712,0.7999999523162842,0.12230663746595383,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,5,96.4528,96.5464,0.8523527383804321,1.0680376291275024,0.7999999523162842,0.12328357249498367,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,6,97.8543,96.9358,0.8511780500411987,1.0659877061843872,0.7999999523162842,0.1225660964846611,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,7,97.5548,97.3431,0.6314622759819031,1.0655797719955444,0.7999999523162842,0.1224551871418953,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,8,97.5219,97.8367,0.6339550018310547,1.069347858428955,0.7999999523162842,0.12368210405111313,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
minesweeper,polynormer,mlp,shuffle,0.01,500,42,9,97.3087,97.4281,0.6315135955810547,1.0659680366516113,0.7999999523162842,0.12251153588294983,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=3,le=100,ge=2000,beta=-1.0"
