polynormer 0.001 REG: False 76.66 $\pm$ 1.52 
polynormer 0.001 MLP_REG: 0.01 75.89 $\pm$ 1.01 
polynormer 0.001 MLP_REG: 0.01 76.12 $\pm$ 1.50 
polynormer 0.001 MLP_REG: 0.01 76.64 $\pm$ 1.24 
polynormer 0.001 ORACLE_REG: 0.01 76.52 $\pm$ 1.27 
polynormer 0.001 MLP_REG: 0.05 76.45 $\pm$ 1.38 
polynormer 0.001 MLP_REG: 0.05 76.88 $\pm$ 1.31 
polynormer 0.001 MLP_REG: 0.05 76.66 $\pm$ 1.40 
polynormer 0.001 ORACLE_REG: 0.05 75.98 $\pm$ 1.63 
polynormer 0.001 MLP_REG: 0.1 76.91 $\pm$ 1.66 
polynormer 0.001 MLP_REG: 0.1 76.22 $\pm$ 1.20 
polynormer 0.001 MLP_REG: 0.1 76.88 $\pm$ 1.53 
polynormer 0.001 ORACLE_REG: 0.1 76.66 $\pm$ 1.24 
polynormer 0.001 MLP_REG: 0.2 76.20 $\pm$ 0.99 
polynormer 0.001 MLP_REG: 0.2 76.34 $\pm$ 1.54 
polynormer 0.001 MLP_REG: 0.2 76.94 $\pm$ 1.34 
polynormer 0.001 ORACLE_REG: 0.2 77.06 $\pm$ 0.79 
polynormer 0.001 MLP_REG: 0.4 76.28 $\pm$ 1.36 
polynormer 0.001 MLP_REG: 0.4 76.51 $\pm$ 1.43 
polynormer 0.001 MLP_REG: 0.4 76.80 $\pm$ 1.20 
polynormer 0.001 ORACLE_REG: 0.4 77.33 $\pm$ 1.21 
