dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
pubmed,polynormer,none,,0.0,,123,0,77.8000,76.9000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,1,79.0000,76.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,2,79.2000,74.4000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,3,81.0000,79.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,4,79.4000,76.5000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,5,79.0000,75.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,6,78.4000,77.0000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,7,78.2000,78.9000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,8,78.8000,77.4000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,none,,0.0,,123,9,78.2000,75.5000,,,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,0,78.2000,76.2000,0.0,0.08801720291376114,0.5720000267028809,0.5241408944129944,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,1,80.2000,76.5000,0.0,0.10704058408737183,0.5700000524520874,0.521686851978302,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,2,78.6000,77.3000,0.0,0.10832761228084564,0.5760000348091125,0.5203205943107605,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,3,81.0000,74.1000,0.0,0.1242934912443161,0.5720000267028809,0.519463062286377,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,4,79.2000,75.9000,0.0,0.05184786766767502,0.5860000252723694,0.5287113785743713,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,5,79.0000,75.7000,0.0,0.10417788475751877,0.578000009059906,0.5219070911407471,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,6,78.0000,75.9000,0.0,0.09338497370481491,0.5660000443458557,0.5298612713813782,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,7,78.2000,77.0000,0.0,0.09547599405050278,0.5660000443458557,0.5282027125358582,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,8,78.8000,75.9000,0.0,0.09896820783615112,0.5740000009536743,0.5240926146507263,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.01,500,123,9,79.0000,74.4000,0.0,0.09148352593183517,0.5740000009536743,0.5226612687110901,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,0,78.2000,77.7000,0.23001228272914886,0.08801720291376114,0.5720000267028809,0.5241408944129944,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,1,78.8000,75.1000,0.30869725346565247,0.10704058408737183,0.5700000524520874,0.521686851978302,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,2,78.6000,74.1000,0.27387285232543945,0.10832761228084564,0.5760000348091125,0.5203205943107605,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,3,80.6000,78.9000,0.39249110221862793,0.1242934912443161,0.5720000267028809,0.519463062286377,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,4,79.8000,76.1000,0.2972702383995056,0.05184786766767502,0.5860000252723694,0.5287113785743713,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,5,77.8000,74.0000,0.43928515911102295,0.10417788475751877,0.578000009059906,0.5219070911407471,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,6,78.2000,76.1000,0.34959205985069275,0.09338497370481491,0.5660000443458557,0.5298612713813782,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,7,79.2000,76.5000,0.33906421065330505,0.09547599405050278,0.5660000443458557,0.5282027125358582,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,8,78.8000,76.5000,0.33513015508651733,0.09896820783615112,0.5740000009536743,0.5240926146507263,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,shuffle,0.01,500,123,9,78.4000,76.2000,0.4090835452079773,0.09148352593183517,0.5740000009536743,0.5226612687110901,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,0,78.6000,74.5000,0.06665930151939392,0.08801720291376114,0.5720000267028809,0.5241408944129944,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,1,79.2000,76.5000,0.0852271318435669,0.10704058408737183,0.5700000524520874,0.521686851978302,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,2,78.4000,76.7000,0.08580005913972855,0.10832761228084564,0.5760000348091125,0.5203205943107605,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,3,80.4000,77.8000,0.09609657526016235,0.1242934912443161,0.5720000267028809,0.519463062286377,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,4,78.8000,77.3000,0.03772915527224541,0.05184786766767502,0.5860000252723694,0.5287113785743713,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,5,78.2000,76.4000,0.07928071171045303,0.10417788475751877,0.578000009059906,0.5219070911407471,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,6,78.4000,75.1000,0.07437113672494888,0.09338497370481491,0.5660000443458557,0.5298612713813782,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,7,77.8000,78.4000,0.07335478067398071,0.09547599405050278,0.5660000443458557,0.5282027125358582,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,8,78.6000,77.8000,0.07702834159135818,0.09896820783615112,0.5740000009536743,0.5240926146507263,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,homophily,0.01,500,123,9,78.0000,75.9000,0.07042300701141357,0.09148352593183517,0.5740000009536743,0.5226612687110901,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,0,79.0000,77.8000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,1,79.0000,75.7000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,2,78.4000,76.7000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,3,80.4000,78.4000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,4,80.0000,75.8000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,5,78.6000,76.6000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,6,78.4000,75.6000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,7,78.4000,77.6000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,8,79.2000,76.9000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,oracle,none,0.01,,123,9,78.0000,74.1000,0.0,0.1966123729944229,,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.05,500,123,0,78.8000,79.0000,0.0,0.08801720291376114,0.5720000267028809,0.5241408944129944,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.05,500,123,1,79.8000,75.6000,0.0,0.10704058408737183,0.5700000524520874,0.521686851978302,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
pubmed,polynormer,mlp,none,0.05,500,123,2,79.0000,76.8000,0.0,0.10832761228084564,0.5760000348091125,0.5203205943107605,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0"
