sgformer 0.005 REG: False 78.62 $\pm$ 0.87 
sgformer 0.005 MLP_REG: 0.01 78.50 $\pm$ 0.95 
sgformer 0.005 MLP_REG: 0.01 78.71 $\pm$ 1.01 
sgformer 0.005 MLP_REG: 0.05 79.03 $\pm$ 1.06 
sgformer 0.005 MLP_REG: 0.05 78.88 $\pm$ 0.99 
sgformer 0.005 ORACLE_REG: 0.01 78.90 $\pm$ 1.05 
sgformer 0.005 MLP_REG: 0.01 78.94 $\pm$ 0.60 
sgformer 0.005 ORACLE_REG: 0.05 78.82 $\pm$ 1.39 
sgformer 0.005 MLP_REG: 0.1 79.04 $\pm$ 0.81 
sgformer 0.005 MLP_REG: 0.1 78.99 $\pm$ 0.86 
sgformer 0.005 MLP_REG: 0.05 79.28 $\pm$ 0.52 
sgformer 0.005 ORACLE_REG: 0.1 78.69 $\pm$ 0.98 
sgformer 0.005 MLP_REG: 0.2 79.04 $\pm$ 1.09 
sgformer 0.005 MLP_REG: 0.2 78.98 $\pm$ 0.51 
sgformer 0.005 MLP_REG: 0.1 78.69 $\pm$ 0.86 
sgformer 0.005 ORACLE_REG: 0.2 79.19 $\pm$ 1.08 
sgformer 0.005 MLP_REG: 0.4 79.10 $\pm$ 1.11 
sgformer 0.005 MLP_REG: 0.2 78.60 $\pm$ 0.95 
sgformer 0.005 MLP_REG: 0.4 78.88 $\pm$ 1.18 
sgformer 0.005 ORACLE_REG: 0.4 78.90 $\pm$ 1.67 
sgformer 0.005 MLP_REG: 0.4 79.03 $\pm$ 1.12 
