polynormer 3e-05 REG: False 78.43 $\pm$ 1.06 
polynormer 3e-05 MLP_REG: 0.01 78.51 $\pm$ 0.97 
polynormer 3e-05 ORACLE_REG: 0.01 78.36 $\pm$ 1.01 
polynormer 3e-05 ORACLE_REG: 0.05 78.06 $\pm$ 0.82 
polynormer 3e-05 MLP_REG: 0.05 78.44 $\pm$ 1.00 
polynormer 3e-05 ORACLE_REG: 0.1 77.43 $\pm$ 0.77 
polynormer 3e-05 MLP_REG: 0.1 78.36 $\pm$ 1.09 
polynormer 3e-05 MLP_REG: 0.01 78.54 $\pm$ 0.91 
polynormer 3e-05 ORACLE_REG: 0.2 77.81 $\pm$ 0.77 
polynormer 3e-05 MLP_REG: 0.2 78.60 $\pm$ 0.98 
polynormer 3e-05 MLP_REG: 0.05 78.44 $\pm$ 1.00 
polynormer 3e-05 ORACLE_REG: 0.4 78.75 $\pm$ 0.87 
polynormer 3e-05 MLP_REG: 0.4 78.61 $\pm$ 0.79 
polynormer 3e-05 MLP_REG: 0.1 78.39 $\pm$ 1.02 
polynormer 3e-05 MLP_REG: 0.2 78.54 $\pm$ 1.04 
polynormer 3e-05 MLP_REG: 0.4 78.69 $\pm$ 0.67 
