dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
questions,polynormer,none,,0.0,,42,0,78.8863,77.3652,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,none,,0.0,,42,1,80.0842,79.9470,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,none,,0.0,,42,2,78.3110,79.3621,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,none,,0.0,,42,3,79.1592,77.3766,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,none,,0.0,,42,4,78.2747,78.4988,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,none,,0.0,,42,5,77.8030,79.3025,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,none,,0.0,,42,6,78.9742,77.9229,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,none,,0.0,,42,7,79.0202,79.6099,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,none,,0.0,,42,8,78.0300,77.8666,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,none,,0.0,,42,9,78.5659,77.0072,,,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,0,78.9566,77.8340,0.0,0.6089397072792053,,0.36946606636047363,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,1,79.9275,79.8670,0.0,0.29141759872436523,,0.4992929995059967,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,2,78.3588,79.4470,0.0,0.5662332773208618,,0.38740289211273193,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,3,79.2307,77.3698,0.0,0.4092075526714325,,0.45223984122276306,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,4,78.2590,78.2825,0.0,0.4957708418369293,,0.4169347286224365,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,5,77.8677,79.5139,0.0,0.23343637585639954,,0.5220050811767578,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,6,79.0305,77.8801,0.0,0.5885680317878723,,0.37819787859916687,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,7,79.0116,79.5454,0.0,0.4627265930175781,,0.43062523007392883,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,8,77.9441,77.8856,0.0,0.4748177230358124,,0.4255658984184265,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.01,500,42,9,78.5778,77.4465,0.0,0.35546568036079407,,0.4737531840801239,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,0,78.9565,77.8547,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,1,79.9022,79.7594,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,2,78.4874,79.3726,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,3,79.2023,77.1672,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,4,78.0605,78.4160,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,5,77.8825,79.1288,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,6,78.7752,77.8490,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,7,78.8335,79.4314,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,8,77.9268,77.7908,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.01,,42,9,78.6156,76.8524,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,0,78.4997,77.5007,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,1,79.4701,79.2037,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,2,78.0522,78.7348,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,3,79.2713,76.9635,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,4,77.7235,78.3209,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,5,77.7881,79.0352,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,6,78.2201,77.4861,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,7,78.7751,78.6763,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,8,77.6984,77.3531,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.05,,42,9,78.4976,77.3563,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,0,78.8574,77.9767,0.0,0.6089397072792053,,0.36946606636047363,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,1,79.9556,79.8711,0.0,0.29141759872436523,,0.4992929995059967,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,2,78.3529,79.4370,0.0,0.5662332773208618,,0.38740289211273193,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,3,79.3153,77.2012,0.0,0.4092075526714325,,0.45223984122276306,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,4,78.1497,78.4030,0.0,0.4957708418369293,,0.4169347286224365,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,5,78.0185,79.4051,0.0,0.23343637585639954,,0.5220050811767578,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,6,78.8004,77.4978,0.0,0.5885680317878723,,0.37819787859916687,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,7,78.9986,79.3849,0.0,0.4627265930175781,,0.43062523007392883,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,8,77.8741,77.7247,0.0,0.4748177230358124,,0.4255658984184265,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,mlp,none,0.05,500,42,9,78.7729,77.4499,0.0,0.35546568036079407,,0.4737531840801239,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.1,,42,0,78.1863,77.2372,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.1,,42,1,78.9506,78.1863,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.1,,42,2,77.4645,77.8883,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.1,,42,3,78.5255,76.1105,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.1,,42,4,77.3567,78.0063,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.1,,42,5,77.2232,78.3947,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.1,,42,6,77.6530,77.1513,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
questions,polynormer,oracle,none,0.1,,42,7,78.5189,77.9191,0.0,1.2429149150848389,,,"lr=3e-05,hid=64,do=0.2,wd=0.0,heads=8,ll=5,gl=3,le=200,ge=1500,beta=0.4"
