dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
squirrel,polynormer,none,,0.0,,42,0,37.3259,41.8142,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,1,40.4286,41.5350,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,2,42.2865,40.4444,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,3,38.8499,41.3333,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,4,38.6648,38.3074,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,5,39.0738,40.6593,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,6,40.4624,36.7713,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,7,39.6482,34.8730,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,8,39.3632,40.3727,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,none,,0.0,,42,9,39.4270,36.7788,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,0,39.2758,39.8230,0.0,0.18827322125434875,0.2688022255897522,0.2808564603328705,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,1,40.8571,40.8578,0.0,0.19420884549617767,0.29428571462631226,0.30514881014823914,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,2,42.1488,39.7778,0.0,0.15582530200481415,0.3278236985206604,0.23186761140823364,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,3,38.1487,40.2222,0.0,0.2075442373752594,0.2552594542503357,0.2952658534049988,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,4,38.5257,39.6437,0.0,0.16658972203731537,0.2475660741329193,0.2518995702266693,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,5,39.0738,38.9011,0.0,0.20835919678211212,0.299565851688385,0.3340246379375458,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,6,40.4624,35.2018,0.0,0.17791397869586945,0.29190751910209656,0.26584187150001526,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,7,40.1894,34.8730,0.0,0.1707821637392044,0.25710418820381165,0.25329720973968506,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,8,39.2185,39.9586,0.0,0.20968790352344513,0.2850940525531769,0.3024723529815674,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,none,0.01,500,42,9,39.6999,37.9808,0.0,0.2002420425415039,0.2851296067237854,0.3031734228134155,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,shuffle,0.01,500,42,0,38.0223,41.5929,0.2769179046154022,0.18827322125434875,0.2688022255897522,0.2808564603328705,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,shuffle,0.01,500,42,1,40.5714,39.0519,0.27608606219291687,0.19420884549617767,0.29428571462631226,0.30514881014823914,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,shuffle,0.01,500,42,2,41.8733,40.6667,0.2446710765361786,0.15582530200481415,0.3278236985206604,0.23186761140823364,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,shuffle,0.01,500,42,3,38.9902,41.5556,0.29372739791870117,0.2075442373752594,0.2552594542503357,0.2952658534049988,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,shuffle,0.01,500,42,4,39.6384,40.0891,0.212230384349823,0.16658972203731537,0.2475660741329193,0.2518995702266693,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
squirrel,polynormer,mlp,shuffle,0.01,500,42,5,37.9161,41.0989,0.2932247817516327,0.20835919678211212,0.299565851688385,0.3340246379375458,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=500,beta=-1.0"
