dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
squirrel,sgformer,none,,0.0,,42,0,41.9220,42.4779,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,none,,0.0,,42,1,42.8571,40.1806,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,none,,0.0,,42,2,40.0826,40.6667,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,none,,0.0,,42,3,43.1978,44.8889,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,none,,0.0,,42,4,38.5257,35.8575,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,none,,0.0,,42,5,38.6397,40.0000,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,none,,0.0,,42,6,42.3410,39.0135,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,none,,0.0,,42,7,41.9486,40.8776,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,none,,0.0,,42,8,40.0868,39.3375,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,none,,0.0,,42,9,41.6098,35.5769,,,,,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,0,41.9220,42.2566,0.0,0.18477284908294678,0.27437326312065125,0.274875283241272,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,1,43.1429,40.8578,0.0,0.19748510420322418,0.2985714375972748,0.30732324719429016,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,2,40.3581,39.7778,0.0,0.15941636264324188,0.325068861246109,0.23782570660114288,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,3,42.9173,44.8889,0.0,0.2044001966714859,0.2510519027709961,0.29103198647499084,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,4,38.3867,35.8575,0.0,0.17227649688720703,0.2586926221847534,0.25815337896347046,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,5,38.2055,40.2198,0.0,0.20697039365768433,0.29522430896759033,0.3303055763244629,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,6,42.3410,38.7892,0.0,0.17803630232810974,0.29624277353286743,0.26847538352012634,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,7,41.5426,39.9538,0.0,0.17979834973812103,0.25304463505744934,0.2642080783843994,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,8,39.9421,39.7516,0.0,0.2074911892414093,0.3024601936340332,0.2985893785953522,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.01,500,42,9,41.6098,35.5769,0.0,0.1973176896572113,0.3028649389743805,0.2939619719982147,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
squirrel,sgformer,mlp,none,0.05,500,42,0,42.2006,42.4779,0.0,0.18477284908294678,0.27437326312065125,0.274875283241272,"lr=0.001,hid=64,do=0.7,wd=0.0005,heads=1,gcn_l=3,tr_l=1,gw=0.8,alpha=0.5,tr_do=None,tr_wd=None,bn=False"
