sgformer 0.001 REG: False 39.89 $\pm$ 2.77 
sgformer 0.001 MLP_REG: 0.01 39.79 $\pm$ 2.74 
sgformer 0.001 MLP_REG: 0.05 39.98 $\pm$ 2.56 
sgformer 0.001 MLP_REG: 0.01 39.90 $\pm$ 2.68 
sgformer 0.001 MLP_REG: 0.1 39.54 $\pm$ 2.36 
sgformer 0.001 MLP_REG: 0.05 39.68 $\pm$ 2.47 
sgformer 0.001 MLP_REG: 0.2 40.23 $\pm$ 2.37 
sgformer 0.001 MLP_REG: 0.1 39.66 $\pm$ 2.11 
sgformer 0.001 MLP_REG: 0.4 39.20 $\pm$ 2.65 
sgformer 0.001 MLP_REG: 0.2 39.62 $\pm$ 2.36 
sgformer 0.001 MLP_REG: 0.01 39.63 $\pm$ 2.68 
sgformer 0.001 MLP_REG: 0.4 40.01 $\pm$ 2.44 
sgformer 0.001 MLP_REG: 0.05 39.82 $\pm$ 2.77 
sgformer 0.001 MLP_REG: 0.1 39.65 $\pm$ 2.80 
sgformer 0.001 ORACLE_REG: 0.01 39.70 $\pm$ 2.61 
sgformer 0.001 MLP_REG: 0.2 39.91 $\pm$ 2.30 
sgformer 0.001 ORACLE_REG: 0.05 39.92 $\pm$ 2.41 
sgformer 0.001 MLP_REG: 0.4 39.21 $\pm$ 2.48 
sgformer 0.001 ORACLE_REG: 0.1 39.74 $\pm$ 2.98 
sgformer 0.001 ORACLE_REG: 0.2 40.23 $\pm$ 2.54 
sgformer 0.001 ORACLE_REG: 0.4 40.17 $\pm$ 1.88 
