polynormer 0.001 REG: False 79.83 $\pm$ 0.77 
polynormer 0.001 ORACLE_REG: 0.01 79.91 $\pm$ 0.69 
polynormer 0.001 MLP_REG: 0.01 79.74 $\pm$ 0.68 
polynormer 0.001 ORACLE_REG: 0.05 79.91 $\pm$ 0.77 
polynormer 0.001 MLP_REG: 0.05 79.69 $\pm$ 0.71 
polynormer 0.001 ORACLE_REG: 0.1 79.95 $\pm$ 0.77 
polynormer 0.001 MLP_REG: 0.1 79.90 $\pm$ 0.61 
polynormer 0.001 MLP_REG: 0.01 79.83 $\pm$ 0.47 
polynormer 0.001 ORACLE_REG: 0.2 80.04 $\pm$ 0.56 
polynormer 0.001 MLP_REG: 0.2 79.97 $\pm$ 0.64 
polynormer 0.001 MLP_REG: 0.05 79.90 $\pm$ 0.78 
polynormer 0.001 ORACLE_REG: 0.4 80.08 $\pm$ 0.68 
polynormer 0.001 MLP_REG: 0.4 80.09 $\pm$ 0.51 
polynormer 0.001 MLP_REG: 0.1 80.02 $\pm$ 0.48 
polynormer 0.001 MLP_REG: 0.2 79.69 $\pm$ 0.58 
polynormer 0.001 MLP_REG: 0.01 80.04 $\pm$ 0.64 
polynormer 0.001 MLP_REG: 0.05 79.93 $\pm$ 0.69 
polynormer 0.001 MLP_REG: 0.4 79.83 $\pm$ 0.87 
polynormer 0.001 MLP_REG: 0.1 79.91 $\pm$ 0.68 
polynormer 0.001 MLP_REG: 0.2 79.82 $\pm$ 0.66 
polynormer 0.001 MLP_REG: 0.4 80.12 $\pm$ 0.59 
