sgformer 0.001 REG: False 79.12 $\pm$ 0.78 
sgformer 0.001 MLP_REG: 0.01 79.09 $\pm$ 0.72 
sgformer 0.001 MLP_REG: 0.05 79.22 $\pm$ 0.80 
sgformer 0.001 MLP_REG: 0.1 79.21 $\pm$ 0.85 
sgformer 0.001 MLP_REG: 0.2 79.21 $\pm$ 0.73 
sgformer 0.001 MLP_REG: 0.01 79.08 $\pm$ 0.71 
sgformer 0.001 MLP_REG: 0.4 79.23 $\pm$ 0.72 
sgformer 0.001 MLP_REG: 0.05 79.04 $\pm$ 0.67 
sgformer 0.001 MLP_REG: 0.01 79.12 $\pm$ 0.67 
sgformer 0.001 MLP_REG: 0.1 79.05 $\pm$ 0.76 
sgformer 0.001 MLP_REG: 0.05 79.17 $\pm$ 0.71 
sgformer 0.001 ORACLE_REG: 0.01 79.07 $\pm$ 0.80 
sgformer 0.001 MLP_REG: 0.2 79.11 $\pm$ 0.86 
sgformer 0.001 MLP_REG: 0.1 79.14 $\pm$ 0.72 
sgformer 0.001 ORACLE_REG: 0.05 79.11 $\pm$ 0.70 
sgformer 0.001 MLP_REG: 0.4 79.01 $\pm$ 0.86 
sgformer 0.001 MLP_REG: 0.2 79.12 $\pm$ 0.72 
sgformer 0.001 ORACLE_REG: 0.1 79.13 $\pm$ 0.83 
sgformer 0.001 ORACLE_REG: 0.2 79.24 $\pm$ 0.82 
sgformer 0.001 MLP_REG: 0.4 79.27 $\pm$ 0.79 
sgformer 0.001 ORACLE_REG: 0.4 79.32 $\pm$ 0.74 
