dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
amazon-ratings,MPNN_gcn,none,,0.0,,42,0,36.5507,36.6487,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,none,,0.0,,42,1,31.0959,31.3082,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,none,,0.0,,42,2,31.3082,31.0305,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,none,,0.0,,42,3,35.7178,36.3874,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,none,,0.0,,42,4,31.9451,31.9778,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,none,,0.0,,42,5,36.6324,36.4691,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,none,,0.0,,42,6,36.7304,36.7794,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,none,,0.0,,42,7,36.7794,36.7794,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,none,,0.0,,42,8,35.8484,35.4565,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,none,,0.0,,42,9,36.7794,37.8409,,,,,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,0,36.5670,36.6487,0.0,0.2342035174369812,,0.5871037244796753,50,16,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,1,31.5368,31.3898,0.0,0.24076087772846222,,0.6339254975318909,50,14,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,2,31.1122,30.4753,0.0,0.2844037413597107,,0.6597448587417603,50,20,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,3,35.7341,36.2731,0.0,0.2319960594177246,,0.696780264377594,50,26,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,4,31.1775,30.1486,0.0,0.280530720949173,,0.6164335012435913,50,20,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,5,36.6814,36.5670,0.0,0.2464585155248642,,0.5834472179412842,50,16,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,6,36.7304,36.7794,0.0,0.2847905158996582,,0.6261834502220154,50,22,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,7,36.7630,36.7794,0.0,0.24185368418693542,,0.6970469951629639,50,24,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,8,35.8321,35.4401,0.0,0.2541608214378357,,0.6707190871238708,50,14,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,count,none,0.01,,42,9,36.7304,37.6286,0.0,0.2280503660440445,,0.7028734087944031,50,8,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,0,36.5997,36.6487,0.0,0.08030746132135391,0.22472643852233887,0.37779390811920166,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,1,30.3936,31.1285,0.0,0.0694965273141861,0.2395884394645691,0.3893785774707794,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,2,31.5695,30.6549,0.0,0.07492414861917496,0.2052915245294571,0.45369723439216614,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,3,35.7341,36.3384,0.0,0.16194486618041992,0.23027926683425903,0.45564568042755127,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,4,30.1323,29.6750,0.0,0.07025684416294098,0.22309325635433197,0.37380191683769226,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,5,36.7304,36.6324,0.0,0.07526886463165283,0.23681201040744781,0.40252113342285156,50,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
