dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
amazon-ratings,polynormer,none,,0.0,,42,0,36.8773,36.2731,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,1,36.7794,36.7957,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,2,36.7957,36.7957,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,3,36.8610,36.8284,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,4,36.9917,36.9263,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,5,36.7957,36.7794,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,6,36.7794,36.8773,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,7,36.7794,36.7957,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,8,36.7794,36.7957,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,none,,0.0,,42,9,36.8120,36.8284,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,0,36.8120,36.9753,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,1,36.7794,36.7957,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,2,36.8447,36.5017,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,3,36.7794,36.7957,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,4,36.8284,36.7794,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,5,36.7957,36.7794,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,6,36.7794,36.7957,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,7,36.7794,36.7957,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,8,36.7794,36.7957,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,count,none,0.01,,42,9,36.7794,36.7957,0.0,0.0,,0.5644528269767761,2,0,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,0,36.7794,36.9427,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,1,36.7630,36.7794,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,2,36.7794,36.7957,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,3,36.8610,36.7630,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,4,36.9427,36.7467,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,5,35.3585,35.3258,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,6,36.7794,36.7957,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,7,36.7304,36.6487,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,8,36.7794,36.7957,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,oracle,none,0.01,,42,9,36.7794,36.7957,0.0,0.4107460081577301,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
amazon-ratings,polynormer,mlp,none,0.01,500,42,0,36.8610,36.9590,0.0,0.07831064611673355,0.20937448740005493,0.5002725124359131,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0"
