dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
roman-empire,polynormer,oracle,none,0.01,,42,0,67.3786,67.1197,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.01,,42,1,68.5613,67.7903,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.01,,42,2,67.2727,66.7314,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.01,,42,3,69.2321,69.3788,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.01,,42,4,68.9497,68.9905,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.01,,42,5,68.3142,68.7434,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.01,,42,6,69.5852,68.8846,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.01,,42,7,66.9197,67.5609,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.01,,42,8,68.0318,67.0491,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.01,,42,9,69.0203,68.1963,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,0,67.6434,66.8726,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,1,69.4969,68.4786,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,2,67.6787,67.3844,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,3,69.0026,69.0964,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,4,69.9029,69.2023,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,5,67.6964,68.2845,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,6,68.6320,69.2199,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,7,66.7432,66.7137,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,8,67.5022,67.1197,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.05,,42,9,69.6205,68.6198,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.1,,42,0,68.0847,67.0491,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.1,,42,1,68.5084,68.6198,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.1,,42,2,67.9082,66.7490,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.1,,42,3,69.5675,70.3848,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.1,,42,4,69.3380,69.0258,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.1,,42,5,67.5905,68.3551,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.1,,42,6,68.7555,69.3611,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.1,,42,7,67.7846,67.3844,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
roman-empire,polynormer,oracle,none,0.1,,42,8,66.8667,65.6548,0.0,0.605339765548706,,,50,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5"
