dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
amazon-computer,polynormer,none,,0.0,,42,0,82.0000,65.1036,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
amazon-computer,polynormer,none,,0.0,,42,1,90.0000,78.8077,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
amazon-computer,polynormer,none,,0.0,,42,2,88.0000,80.4798,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
amazon-computer,polynormer,none,,0.0,,42,3,85.0000,70.8106,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
amazon-computer,polynormer,none,,0.0,,42,4,86.0000,76.6994,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
amazon-computer,polynormer,none,,0.0,,42,5,89.0000,64.7401,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
amazon-computer,polynormer,none,,0.0,,42,6,85.0000,67.4300,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
amazon-computer,polynormer,none,,0.0,,42,7,87.0000,76.6994,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
amazon-computer,polynormer,none,,0.0,,42,8,85.0000,66.0124,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
amazon-computer,polynormer,none,,0.0,,42,9,86.0000,67.7208,,,,,10,,"lr=0.001,hid=64,do=0.7,wd=5e-05,heads=8,ll=5,gl=1,le=200,ge=1000,beta=-1.0,vpc=10"
