dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
amazon-ratings,MPNN_gcn,none,,0.0,,42,0,30.0000,27.6498,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,none,,0.0,,42,1,30.0000,24.8408,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,none,,0.0,,42,2,30.0000,12.0203,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,none,,0.0,,42,3,40.0000,15.4336,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,none,,0.0,,42,4,30.0000,18.8796,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,none,,0.0,,42,5,40.0000,16.6585,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,none,,0.0,,42,6,20.0000,36.7957,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,none,,0.0,,42,7,40.0000,17.5241,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,none,,0.0,,42,8,30.0000,21.8357,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,none,,0.0,,42,9,20.0000,26.9802,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,0,30.0000,26.7353,0.0,0.11206759512424469,0.10000000149011612,0.46587029099464417,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,1,30.0000,24.5958,0.0,0.18439537286758423,0.20000000298023224,0.5214628577232361,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,2,30.0000,12.8858,0.0,0.14997105300426483,0.4000000059604645,0.3391396403312683,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,3,40.0000,15.3846,0.0,0.16927975416183472,0.10000000149011612,0.5836929082870483,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,4,30.0000,19.9412,0.0,0.14265894889831543,0.10000000149011612,0.43380293250083923,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
amazon-ratings,MPNN_gcn,mlp,none,0.01,500,42,5,40.0000,16.6748,0.0,0.18633422255516052,0.10000000149011612,0.6287603378295898,2,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,vpc=2"
