dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
amazon-ratings,polynormer,none,,0.0,,42,0,40.0000,19.8106,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,none,,0.0,,42,1,50.0000,16.5605,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,none,,0.0,,42,2,50.0000,23.0116,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,none,,0.0,,42,3,40.0000,22.5380,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,none,,0.0,,42,4,40.0000,22.8483,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,none,,0.0,,42,5,40.0000,16.9198,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,none,,0.0,,42,6,40.0000,14.5190,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,none,,0.0,,42,7,50.0000,19.9412,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,none,,0.0,,42,8,50.0000,30.9652,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,none,,0.0,,42,9,60.0000,22.3093,,,,,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,mlp,none,0.01,500,42,0,30.0000,16.1195,0.0,0.08943554013967514,0.10000000149011612,0.5256614685058594,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
amazon-ratings,polynormer,mlp,none,0.01,500,42,1,50.0000,21.9827,0.0,0.1035640761256218,0.10000000149011612,0.4734658896923065,2,,"lr=0.001,hid=256,do=0.3,wd=0.0,heads=2,ll=10,gl=1,le=200,ge=2500,beta=-1.0,vpc=2"
