dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
citeseer,MPNN_gcn,none,,0.0,,123,0,50.0000,55.1000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,none,,0.0,,123,1,41.6667,38.5000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,none,,0.0,,123,2,58.3333,46.4000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,none,,0.0,,123,3,41.6667,47.0000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,none,,0.0,,123,4,58.3333,51.7000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,none,,0.0,,123,5,75.0000,52.1000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,none,,0.0,,123,6,58.3333,35.1000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,none,,0.0,,123,7,58.3333,41.1000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,none,,0.0,,123,8,50.0000,51.3000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,none,,0.0,,123,9,50.0000,32.6000,,,,,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,mlp,none,0.01,500,123,0,50.0000,54.8000,0.0,0.028157616034150124,0.1666666716337204,0.8414903283119202,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,mlp,none,0.01,500,123,1,41.6667,38.4000,0.0,0.025782689452171326,0.0833333358168602,0.8401777744293213,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,mlp,none,0.01,500,123,2,58.3333,46.3000,0.0,0.1114683598279953,0.1666666716337204,0.853909969329834,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
citeseer,MPNN_gcn,mlp,none,0.01,500,123,3,41.6667,47.6000,0.0,0.0193078201264143,0.1666666716337204,0.8414487838745117,2,,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=2"
