dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
coauthor-cs,MPNN_gcn,none,,0.0,,42,0,92.3333,93.7568,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,none,,0.0,,42,1,92.6667,92.7208,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,none,,0.0,,42,2,92.6667,93.9477,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,none,,0.0,,42,3,91.6667,92.9935,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,none,,0.0,,42,4,93.3333,92.5027,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,none,,0.0,,42,5,90.6667,93.3206,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,none,,0.0,,42,6,93.6667,91.1668,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,none,,0.0,,42,7,91.3333,91.6303,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,none,,0.0,,42,8,94.6667,92.9117,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,none,,0.0,,42,9,93.3333,92.8026,,,,,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
coauthor-cs,MPNN_gcn,mlp,none,0.01,500,42,0,92.3333,93.7023,0.0,0.12361668050289154,0.8400000333786011,0.6320049166679382,20,,"lr=0.001,hid=512,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False,vpc=20"
