dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
cora,MPNN_gcn,none,,0.0,,123,0,80.0000,77.3000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,none,,0.0,,123,1,77.1429,69.7000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,none,,0.0,,123,2,87.1429,72.1000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,none,,0.0,,123,3,84.2857,77.8000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,none,,0.0,,123,4,84.2857,69.0000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,none,,0.0,,123,5,81.4286,77.3000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,none,,0.0,,123,6,77.1429,66.4000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,none,,0.0,,123,7,85.7143,79.4000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,none,,0.0,,123,8,88.5714,74.9000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,none,,0.0,,123,9,91.4286,75.9000,,,,,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,mlp,none,0.01,500,123,0,80.0000,77.2000,0.0,0.08998581022024155,0.5428571701049805,0.7306849360466003,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,mlp,none,0.01,500,123,1,77.1429,70.2000,0.0,0.07513683289289474,0.4285714328289032,0.737723708152771,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,mlp,none,0.01,500,123,2,87.1429,71.8000,0.0,0.06064257025718689,0.4714285731315613,0.7202988862991333,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,mlp,none,0.01,500,123,3,84.2857,77.8000,0.0,0.0360480397939682,0.30000001192092896,0.7357105016708374,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,mlp,none,0.01,500,123,4,82.8571,69.2000,0.0,0.06241221725940704,0.34285715222358704,0.7386676669120789,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,mlp,none,0.01,500,123,5,81.4286,77.7000,0.0,0.048053376376628876,0.5857142806053162,0.7397519946098328,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,mlp,none,0.01,500,123,6,75.7143,71.7000,0.0,0.06407114118337631,0.44285714626312256,0.7464563250541687,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
cora,MPNN_gcn,mlp,none,0.01,500,123,7,85.7143,79.5000,0.0,0.07221317291259766,0.3857142925262451,0.7489761114120483,10,,"lr=0.001,hid=512,do=0.7,wd=0.0005,heads=1,ll=3,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False,vpc=10"
