dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
cora,polynormer,none,,0.0,,123,0,65.7143,60.3000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
cora,polynormer,none,,0.0,,123,1,71.4286,62.8000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
cora,polynormer,none,,0.0,,123,2,80.0000,66.2000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
cora,polynormer,none,,0.0,,123,3,80.0000,70.4000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
cora,polynormer,none,,0.0,,123,4,71.4286,64.7000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
cora,polynormer,none,,0.0,,123,5,74.2857,72.6000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
cora,polynormer,none,,0.0,,123,6,71.4286,63.9000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
cora,polynormer,none,,0.0,,123,7,71.4286,57.2000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
cora,polynormer,none,,0.0,,123,8,82.8571,60.3000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
cora,polynormer,none,,0.0,,123,9,77.1429,65.1000,,,,,5,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0,vpc=5"
