dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
pubmed,polynormer,none,,0.0,,123,0,90.0000,68.8000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,none,,0.0,,123,1,80.0000,71.5000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,none,,0.0,,123,2,76.6667,65.1000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,none,,0.0,,123,3,76.6667,62.4000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,none,,0.0,,123,4,83.3333,73.1000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,none,,0.0,,123,5,83.3333,77.5000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,none,,0.0,,123,6,80.0000,67.7000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,none,,0.0,,123,7,93.3333,64.6000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,none,,0.0,,123,8,83.3333,70.5000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,none,,0.0,,123,9,70.0000,67.4000,,,,,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,0,93.3333,73.5000,0.0,0.10945629328489304,0.6333333849906921,0.5816472768783569,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,1,80.0000,71.8000,0.0,0.11847794055938721,0.6333333849906921,0.5729506015777588,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,2,73.3333,71.0000,0.0,0.03259163722395897,0.6000000238418579,0.5840942859649658,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,3,76.6667,62.5000,0.0,0.0683857724070549,0.5666667222976685,0.5709279179573059,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,4,83.3333,73.3000,0.0,0.07411742210388184,0.7000000476837158,0.5463606715202332,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,5,83.3333,77.4000,0.0,0.08243267238140106,0.6333333849906921,0.5635479688644409,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,6,76.6667,72.9000,0.0,0.11890402436256409,0.5666667222976685,0.5548557043075562,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,7,96.6667,67.4000,0.0,0.12151040881872177,0.6333333849906921,0.5458235740661621,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,8,86.6667,65.4000,0.0,0.15363460779190063,0.5333333611488342,0.5779943466186523,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.01,500,123,9,70.0000,68.5000,0.0,0.13216544687747955,0.36666667461395264,0.546212911605835,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.05,500,123,0,93.3333,71.2000,0.0,0.10945629328489304,0.6333333849906921,0.5816472768783569,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.05,500,123,1,80.0000,71.1000,0.0,0.11847794055938721,0.6333333849906921,0.5729506015777588,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.05,500,123,2,73.3333,61.2000,0.0,0.03259163722395897,0.6000000238418579,0.5840942859649658,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.05,500,123,3,76.6667,65.9000,0.0,0.0683857724070549,0.5666667222976685,0.5709279179573059,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.05,500,123,4,80.0000,73.7000,0.0,0.07411742210388184,0.7000000476837158,0.5463606715202332,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.05,500,123,5,83.3333,74.7000,0.0,0.08243267238140106,0.6333333849906921,0.5635479688644409,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.05,500,123,6,76.6667,72.6000,0.0,0.11890402436256409,0.5666667222976685,0.5548557043075562,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
pubmed,polynormer,mlp,none,0.05,500,123,7,96.6667,71.9000,0.0,0.12151040881872177,0.6333333849906921,0.5458235740661621,10,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=3,gl=1,le=100,ge=1000,beta=-1.0,vpc=10"
