dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
roman-empire,polynormer,mlp,none,0.01,500,42,0,41.6667,26.7914,0.0,0.0850798711180687,0.3611111044883728,0.6917345523834229,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.01,500,42,1,30.5556,20.1730,0.0,0.07336452603340149,0.1111111119389534,0.7153260707855225,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.01,500,42,2,38.8889,27.8680,0.0,0.08749867230653763,0.3055555522441864,0.7108011841773987,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.01,500,42,3,33.3333,18.1080,0.0,0.07751587778329849,0.2777777910232544,0.6967620849609375,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.01,500,42,4,41.6667,30.3212,0.0,0.07472972571849823,0.25,0.6829986572265625,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.01,500,42,5,44.4444,27.7444,0.0,0.07690565288066864,0.3888888955116272,0.6853293776512146,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.01,500,42,6,36.1111,24.1087,0.0,0.08349522203207016,0.3611111044883728,0.69864422082901,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.01,500,42,7,38.8889,33.3216,0.0,0.08814890682697296,0.3611111044883728,0.6776770949363708,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.01,500,42,8,38.8889,21.2672,0.0,0.0709824189543724,0.25,0.7028149366378784,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.01,500,42,9,50.0000,27.6032,0.0,0.08064372092485428,0.3333333432674408,0.6905027627944946,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,0,38.8889,24.3029,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,1,36.1111,21.9732,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,2,38.8889,25.4148,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,3,36.1111,22.6085,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,4,38.8889,25.5206,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,5,44.4444,25.4854,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,6,41.6667,25.7501,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,7,41.6667,28.5563,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,8,44.4444,23.6851,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,none,,0.0,,42,9,50.0000,22.9439,,,,,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.05,500,42,0,41.6667,28.0621,0.0,0.0850798711180687,0.3611111044883728,0.6917345523834229,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.05,500,42,1,30.5556,19.1846,0.0,0.07336452603340149,0.1111111119389534,0.7153260707855225,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.05,500,42,2,38.8889,24.2323,0.0,0.08749867230653763,0.3055555522441864,0.7108011841773987,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
roman-empire,polynormer,mlp,none,0.05,500,42,3,36.1111,22.2556,0.0,0.07751587778329849,0.2777777910232544,0.6967620849609375,2,,"lr=0.001,hid=64,do=0.3,wd=0.0,heads=8,ll=10,gl=2,le=100,ge=2500,beta=0.5,vpc=2"
