dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
wikics,MPNN_gcn,none,,0.0,,42,0,84.0000,69.6425,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
wikics,MPNN_gcn,none,,0.0,,42,1,73.0000,68.4454,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
wikics,MPNN_gcn,none,,0.0,,42,2,81.0000,71.7633,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
wikics,MPNN_gcn,none,,0.0,,42,3,81.0000,66.7009,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
wikics,MPNN_gcn,none,,0.0,,42,4,76.0000,67.3850,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
wikics,MPNN_gcn,none,,0.0,,42,5,78.0000,71.1818,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
wikics,MPNN_gcn,none,,0.0,,42,6,68.0000,69.8307,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
wikics,MPNN_gcn,none,,0.0,,42,7,74.0000,66.1707,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
wikics,MPNN_gcn,none,,0.0,,42,8,88.0000,70.6003,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
wikics,MPNN_gcn,none,,0.0,,42,9,74.0000,66.5812,,,,,10,,"lr=0.001,hid=256,do=0.5,wd=0.0,heads=1,ll=3,gnn=gcn,ln=True,bn=False,res=False,jk=False,prelin=False,vpc=10"
