dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
wikics,polynormer,none,,0.0,,42,0,83.0000,71.5923,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,none,,0.0,,42,1,78.0000,69.9846,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,none,,0.0,,42,2,85.0000,73.0118,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,none,,0.0,,42,3,85.0000,68.3598,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,none,,0.0,,42,4,78.0000,62.2884,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,none,,0.0,,42,5,87.0000,71.6949,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,none,,0.0,,42,6,70.0000,64.9393,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,none,,0.0,,42,7,76.0000,70.1898,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,none,,0.0,,42,8,86.0000,68.1717,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,none,,0.0,,42,9,78.0000,68.8216,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,mlp,none,0.01,500,42,0,85.0000,73.2512,0.0,0.2335466742515564,0.6899999976158142,0.4484531879425049,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,mlp,none,0.01,500,42,1,74.0000,70.0017,0.0,0.2161262184381485,0.6399999856948853,0.4495624899864197,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,mlp,none,0.01,500,42,2,85.0000,73.0631,0.0,0.22124159336090088,0.6499999761581421,0.4147055149078369,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,mlp,none,0.01,500,42,3,85.0000,69.1295,0.0,0.23125651478767395,0.7400000095367432,0.4039120078086853,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
wikics,polynormer,mlp,none,0.01,500,42,4,81.0000,66.6325,0.0,0.2368159145116806,0.6299999952316284,0.4429856538772583,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0,vpc=10"
