dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
roman-empire,MPNN_gat,none,,0.0,,42,0,90.5737,90.1518,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,none,,0.0,,42,1,90.6267,90.5048,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,none,,0.0,,42,2,89.8147,90.0988,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,none,,0.0,,42,3,91.1562,90.6460,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,none,,0.0,,42,4,90.3442,89.2870,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,none,,0.0,,42,5,90.3619,91.1048,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,none,,0.0,,42,6,90.4148,90.8401,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,none,,0.0,,42,7,89.9735,90.1871,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,none,,0.0,,42,8,90.8561,89.9400,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,none,,0.0,,42,9,90.6267,90.0988,,,,,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,0,90.3442,90.0635,0.0,0.25547677278518677,0.6386584043502808,0.34155982732772827,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,1,90.6973,90.2224,0.0,0.252249151468277,0.6432480216026306,0.35185396671295166,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,2,90.2030,90.4165,0.0,0.2589298486709595,0.6349514126777649,0.35023558139801025,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,3,91.1562,91.0166,0.0,0.2638278603553772,0.6432480216026306,0.35175821185112,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,4,90.4501,89.7459,0.0,0.2520643174648285,0.6397175192832947,0.34482577443122864,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,5,90.2030,90.9460,0.0,0.25174713134765625,0.6443071365356445,0.35298484563827515,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,6,90.5384,91.0342,0.0,0.25637781620025635,0.6391879916191101,0.3474682867527008,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,7,90.2383,90.1518,0.0,0.26307642459869385,0.6407766938209534,0.35364261269569397,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,8,90.4854,89.9929,0.0,0.25472399592399597,0.6439540982246399,0.34996140003204346,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.01,500,42,9,90.4325,90.0282,0.0,0.26056191325187683,0.6469549536705017,0.3515204191207886,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.05,500,42,0,90.6620,90.2400,0.0,0.25547677278518677,0.6386584043502808,0.34155982732772827,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.05,500,42,1,90.8208,90.0106,0.0,0.252249151468277,0.6432480216026306,0.35185396671295166,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.05,500,42,2,90.2030,90.6283,0.0,0.2589298486709595,0.6349514126777649,0.35023558139801025,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
roman-empire,MPNN_gat,mlp,none,0.05,500,42,3,90.9974,90.7695,0.0,0.2638278603553772,0.6432480216026306,0.35175821185112,"lr=0.001,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=True"
