dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
squirrel,MPNN_gat,none,,0.0,,42,0,43.8719,44.4690,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,none,,0.0,,42,1,43.5714,37.0203,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,none,,0.0,,42,2,42.5620,40.4444,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,none,,0.0,,42,3,40.9537,40.6667,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,none,,0.0,,42,4,40.3338,42.0935,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,none,,0.0,,42,5,39.7974,38.0220,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,none,,0.0,,42,6,45.8092,36.9955,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,none,,0.0,,42,7,41.9486,39.9538,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,none,,0.0,,42,8,41.9682,40.7868,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,none,,0.0,,42,9,44.3383,41.8269,,,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,0,43.0362,42.9204,0.3425031006336212,0.2317858338356018,0.3091921806335449,0.35394957661628723,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,1,43.1429,39.5034,0.3270637094974518,0.23987162113189697,0.3171428442001343,0.3899678885936737,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,2,42.5620,39.3333,0.31817424297332764,0.20960359275341034,0.3333333432674408,0.33627384901046753,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,3,42.0757,44.6667,0.2968147397041321,0.21076764166355133,0.3015427887439728,0.3113705813884735,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,4,40.7510,36.5256,0.2754083275794983,0.20641125738620758,0.2892906963825226,0.3080495595932007,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,5,41.5340,40.8791,0.3703179955482483,0.25505566596984863,0.3096960783004761,0.4594669044017792,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,6,48.2659,41.4798,0.3152753710746765,0.2219504565000534,0.34248554706573486,0.3651893436908722,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,7,44.9256,42.2633,0.27593091130256653,0.20533430576324463,0.305818647146225,0.3027069568634033,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,8,41.8234,37.6812,0.269771933555603,0.22576265037059784,0.35890012979507446,0.35574033856391907,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,shuffle,0.01,500,42,9,42.0191,39.9038,0.29362818598747253,0.23274275660514832,0.3342428505420685,0.3378238081932068,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,0,43.0362,40.7080,0.19352075457572937,0.2317858338356018,0.3091921806335449,0.35394957661628723,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,1,42.1429,39.9549,0.2016935646533966,0.23987162113189697,0.3171428442001343,0.3899678885936737,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,2,41.0468,41.3333,0.17516611516475677,0.20960359275341034,0.3333333432674408,0.33627384901046753,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,3,42.7770,41.7778,0.17745906114578247,0.21076764166355133,0.3015427887439728,0.3113705813884735,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,4,42.5591,42.5390,0.17410776019096375,0.20641125738620758,0.2892906963825226,0.3080495595932007,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,5,40.9551,39.3407,0.21496392786502838,0.25505566596984863,0.3096960783004761,0.4594669044017792,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,6,42.3410,39.9103,0.1858246773481369,0.2219504565000534,0.34248554706573486,0.3651893436908722,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,7,43.3018,39.7229,0.17258606851100922,0.20533430576324463,0.305818647146225,0.3027069568634033,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,8,42.9812,42.6501,0.18959809839725494,0.22576265037059784,0.35890012979507446,0.35574033856391907,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,mlp,homophily,0.01,500,42,9,39.9727,39.4231,0.1967223584651947,0.23274275660514832,0.3342428505420685,0.3378238081932068,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,oracle,none,0.01,,42,0,42.7577,44.0265,0.0,0.043531544506549835,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,oracle,none,0.01,,42,1,43.5714,42.4379,0.0,0.043531544506549835,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,oracle,none,0.01,,42,2,40.9091,41.5556,0.0,0.043531544506549835,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,oracle,none,0.01,,42,3,44.1795,44.8889,0.0,0.043531544506549835,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,oracle,none,0.01,,42,4,41.0292,41.6481,0.0,0.043531544506549835,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gat,oracle,none,0.01,,42,5,40.9551,41.0989,0.0,0.043531544506549835,,,"lr=0.005,hid=512,do=0.5,wd=0.0005,heads=1,ll=7,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
