dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
squirrel,MPNN_gcn,none,,0.0,,42,0,44.2897,44.6903,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,none,,0.0,,42,1,47.5714,45.5982,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,none,,0.0,,42,2,43.8017,47.1111,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,none,,0.0,,42,3,46.7041,46.4444,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,none,,0.0,,42,4,41.3074,42.5390,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,none,,0.0,,42,5,43.7048,42.1978,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,none,,0.0,,42,6,45.5202,45.5157,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,none,,0.0,,42,7,45.3315,39.2610,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,none,,0.0,,42,8,44.8625,46.7909,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,none,,0.0,,42,9,44.3383,43.9904,,,,,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,0,44.5682,45.3540,0.0,0.23458535969257355,0.320334255695343,0.3971378207206726,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,1,47.1429,44.0181,0.0,0.23440667986869812,0.3385714292526245,0.4139375686645508,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,2,43.1129,47.5556,0.0,0.21632325649261475,0.3292011022567749,0.3809379041194916,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,3,46.4236,47.3333,0.0,0.23290450870990753,0.30855539441108704,0.36042192578315735,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,4,40.8901,40.9800,0.0,0.21581098437309265,0.3115438222885132,0.37094995379447937,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,5,43.9942,41.9780,0.0,0.2461746633052826,0.29522430896759033,0.43392813205718994,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,6,45.2312,44.3946,0.0,0.2439899444580078,0.35982659459114075,0.4168037474155426,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,7,44.3843,39.7229,0.0,0.21782702207565308,0.28958049416542053,0.33628296852111816,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,8,45.1520,45.5487,0.0,0.23998220264911652,0.308248907327652,0.3658057749271393,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,none,0.01,500,42,9,44.6112,44.2308,0.0,0.2224237322807312,0.3356070816516876,0.3634684979915619,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,homophily,0.01,500,42,0,43.8719,45.1327,0.19668631255626678,0.23458535969257355,0.320334255695343,0.3971378207206726,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
squirrel,MPNN_gcn,mlp,homophily,0.01,500,42,1,47.7143,43.5666,0.19743697345256805,0.23440667986869812,0.3385714292526245,0.4139375686645508,"lr=0.01,hid=256,do=0.7,wd=0.0005,heads=1,ll=4,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False"
