dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,0,49.0500,48.7800,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,1,51.2000,50.0900,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,2,51.8500,51.6300,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,3,53.4500,52.4900,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,4,53.0000,51.6250,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,5,52.5500,51.5650,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,6,49.9500,49.8500,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,7,53.3000,52.1800,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,8,50.4500,50.2700,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,none,,0.0,,42,9,52.2500,52.0750,,,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,0,49.1000,48.6500,0.4742526113986969,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,1,50.9500,49.8550,0.47499117255210876,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,2,49.6500,48.3650,0.47581174969673157,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,3,52.2500,51.9700,0.4635714292526245,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,4,51.7000,51.8700,0.4692961275577545,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,5,52.7000,52.1150,0.4680829346179962,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,6,49.6000,49.9400,0.46759167313575745,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,7,53.3500,51.2050,0.47119730710983276,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,8,50.7500,50.3650,0.4719356596469879,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,shuffle,0.01,,42,9,52.1000,51.9600,0.48428210616111755,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,0,49.8000,49.7900,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,1,50.9000,49.0600,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,2,51.6000,52.2250,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,3,52.2000,51.6750,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,4,52.1500,52.1800,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,5,53.1500,51.7050,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,6,49.7500,49.8850,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,7,53.3500,52.6150,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,8,51.1000,50.4650,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,9,52.3000,52.2350,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,0,48.7000,48.4950,0.0,0.018776265904307365,,0.9384892582893372,20,40,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,1,50.7500,50.2200,0.0,0.026597389951348305,,0.948153018951416,20,46,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,2,49.4500,49.0000,0.0,0.015287071466445923,,0.945289134979248,20,30,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,3,52.3500,52.3350,0.0,0.01776175945997238,,0.9412504434585571,20,40,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,4,52.2500,52.0500,0.0,0.021353330463171005,,0.9416289925575256,20,44,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,5,53.2000,51.7450,0.0,0.020894767716526985,,0.9509130120277405,20,30,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,6,49.7000,50.1450,0.0,0.018846049904823303,,0.9454628229141235,20,34,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,7,53.2500,51.7000,0.0,0.027527999132871628,,0.9450955986976624,20,52,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,8,50.2500,50.0750,0.0,0.020604105666279793,,0.9371125102043152,20,46,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.01,,42,9,52.1000,52.3500,0.0,0.02102675847709179,,0.9407103657722473,20,44,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,0,48.4500,48.1900,0.0,0.018776265904307365,,0.9384892582893372,20,40,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,1,50.9500,50.7550,0.0,0.026597389951348305,,0.948153018951416,20,46,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,2,50.2000,49.8200,0.0,0.015287071466445923,,0.945289134979248,20,30,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,3,52.0500,51.5400,0.0,0.01776175945997238,,0.9412504434585571,20,40,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,4,51.5000,51.8650,0.0,0.021353330463171005,,0.9416289925575256,20,44,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,5,53.0000,51.9650,0.0,0.020894767716526985,,0.9509130120277405,20,30,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,6,50.7000,50.5350,0.0,0.018846049904823303,,0.9454628229141235,20,34,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,7,52.7500,51.7500,0.0,0.027527999132871628,,0.9450955986976624,20,52,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,8,51.2000,50.2650,0.0,0.020604105666279793,,0.9371125102043152,20,46,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,count,none,0.05,,42,9,52.4000,52.0500,0.0,0.02102675847709179,,0.9407103657722473,20,44,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
ogbn-arxiv,MPNN_gcn,oracle,none,0.01,,42,0,49.5500,48.4300,0.0,0.4279116094112396,,,20,,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep"
