dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,0,54.4000,53.7550,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,1,53.9000,52.9500,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,2,55.1500,54.9700,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,3,57.3500,57.1150,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,4,56.9500,58.9950,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,5,58.3000,57.0550,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,6,54.6500,55.8150,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,7,57.1500,54.8950,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,8,57.1500,54.1250,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,9,58.5000,56.5200,0.0,0.11587480455636978,,0.6621187925338745,50,1558,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:keep,prior=arxiv_lt2018_m100.pt"
