dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,0,74.7500,74.4500,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,1,75.2500,74.1650,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,2,74.2000,73.7800,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,3,75.6000,74.4100,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,4,74.7000,74.4350,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,5,74.3000,73.0650,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,6,75.2000,74.2050,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,7,73.5500,73.9900,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,8,74.2500,73.2000,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
ogbn-arxiv,MPNN_gcn,transfer,none,0.01,,42,9,74.1500,73.7800,0.0,0.32073691487312317,,0.17360244691371918,20,738066,"lr=0.0005,hid=512,do=0.5,wd=0.0005,heads=1,ll=5,gnn=gcn,ln=False,bn=True,res=True,jk=False,prelin=False,ys=2018:labels,prior=arxiv_lt2018_all.pt"
